,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,Date,SOD,J[NH4],J[NO3],J[PO4],O2(0),NH4(0),NO3(0),PO4(0),T,,Station,Day,NH4(0),NO3(0),PO4(0),O2(0),Station,Day,NH4(0),NO3(0),PO4(0),O2(0),,Station,Day,NH4(0),NO3(0),PO4(0),,Station,Day,PIP,POP
41, 07/20/94 ,0.754,22.12,0.00,2.60,5.89,0.015,0.015,0.011,20.94,,2,228,               ,               ,               ,5.78,40,195,0.015,0.015,               ,            ,,41,926,3.44,0.017,1.77,,,,,
41, 10/17/94 ,0.381,3.28,4.35,0.30,10.48,0.021,0.127,0.005,1.57,,2,245,0.031,0.119,               ,             ,40,195,               ,               ,               ,6.08,,41,1018,1.00,0.006,0.28,,,,,
50, 04/11/94 ,0.254,-2.13,0.58,0.15,10.68,0.015,0.424,0.007,10.35,,2,264,0.018,0.120,0.008,7.80,40,208,0.015,0.015,               ,            ,,50,822,0.60,0.028,0.09,,,,,
50, 07/21/94 ,0.260,61.45,-11.21,23.08,7.97,0.019,0.091,0.006,20.94,,2,277,0.051,0.251,               ,             ,40,208,               ,               ,               ,5.69,,50,926,1.05,0.012,0.63,,,,,
50, 10/12/94 ,0.502,1.47,6.70,0.67,10.20,0.015,0.015,0.002,10.45,,2,277,               ,               ,               ,6.87,40,236,               ,               ,               ,9.80,,50,1018,1.12,0.004,0.30,,,,,
51, 04/11/94 ,0.285,-0.73,1.31,0.55,10.68,0.015,0.424,0.007,10.35,,2,283,0.020,0.182,0.011,             ,40,250,               ,               ,               ,9.34,,51,822,1.29,0.003,0.86,,,,,
51, 07/21/94 ,0.300,30.72,-1.92,1.60,7.97,0.019,0.091,0.006,20.94,,7,130,0.025,0.330,0.012,             ,40,262,0.015,0.015,0.003,            ,,51,926,2.45,0.014,0.62,,,,,
51, 10/12/94 ,0.587,10.19,7.08,0.92,10.20,0.015,0.015,0.002,10.45,,7,158,               ,               ,               ,10.49,40,264,0.015,0.015,               ,            ,,51,1018,2.08,0.005,0.51,,,,,
,,,,,,,,,,,,7,165,               ,               ,               ,10.82,40,264,               ,               ,               ,8.37,,,,,,,,,,,
,,,,,,,,,,,,7,166,               ,               ,               ,11.20,40,290,               ,               ,               ,10.48,,,,,,,,,,,
,,,,,,,,,,,,7,166,0.015,0.332,0.010,             ,50,131,0.015,0.424,0.007,            ,,,,,,,,,,,
,,,,,,,,,,,,7,179,0.015,0.305,0.002,             ,50,159,0.015,0.206,0.004,9.20,,,,,,,,,,,
,,,,,,,,,,,,7,193,0.015,0.295,0.006,10.40,50,192,0.033,0.241,0.003,8.70,,,,,,,,,,,
,,,,,,,,,,,,7,208,               ,               ,               ,10.60,50,207,0.010,0.016,0.009,7.60,,,,,,,,,,,
,,,,,,,,,,,,7,208,0.015,0.351,0.009,             ,50,207,0.015,0.016,               ,7.60,,,,,,,,,,,
,,,,,,,,,,,,7,208,0.015,0.169,0.002,             ,50,236,               ,               ,               ,8.90,,,,,,,,,,,
,,,,,,,,,,,,7,228,               ,               ,               ,9.49,50,250,0.015,0.015,0.003,9.00,,,,,,,,,,,
,,,,,,,,,,,,7,245,0.015,0.274,               ,             ,50,262,0.015,0.015,0.003,            ,,,,,,,,,,,
,,,,,,,,,,,,7,264,0.015,0.302,0.011,9.60,50,277,0.015,0.015,0.002,10.70,,,,,,,,,,,
,,,,,,,,,,,,7,277,               ,               ,               ,9.03,50,290,               ,               ,               ,9.70,,,,,,,,,,,
