Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
100,Technical,Applications Programmer (Level IV),$168.39,$143.22,$143.22
101,Technical,Applications Systems Analyst (Level I),$61.40,$52.23,$52.23
102,Technical,Applications Systems Analyst (Level II),$76.98,$65.49,$65.49
103,Technical,Applications Systems Analyst (Level III),$102.02,$86.77,$86.77
104,Technical,Applications Systems Analyst (Level IV),$136.42,$116.02,$116.02
105,Technical,Data Architect (Level I),$106.86,$90.90,$90.90
106,Technical,Data Architect (Level II),$156.10,$132.78,$132.78
107,Technical,Data Architect (Level III),$181.64,$154.48,$154.48
108,Technical,Data Warehouse Analyst (Level I),$111.30,$94.66,$94.66
109,Technical,Data Warehouse Analyst (Level II),$130.69,$111.16,$111.16
110,Technical,Data Warehouse Analyst (Level III),$151.84,$129.14,$129.14
111,Technical,Data Warehouse Analyst (Level IV),$187.55,$159.52,$159.52
112,Technical,Database Manager/Administrator (Level II),$114.43,$97.31,$97.31
113,Technical,Database Manager/Administrator (Level III),$128.74,$109.49,$109.49
114,Technical,Database Manager/Administrator (Level IV),$175.60,$149.34,$149.34
115,Technical,Database Analyst/Programmer (Level I),$63.97,$54.43,$54.43
116,Technical,Database Analyst/Programmer (Level II),$89.25,$75.91,$75.91
117,Technical,Database Analyst/Programmer (Level III),$108.27,$92.08,$92.08
118,Technical,Database Analyst/Programmer (Level IV),$132.63,$112.80,$112.80
119,Technical,Electronic Data Interchange (EDI) Specialist (Level II),$74.08,$63.01,$63.01
120,Technical,Electronic Data Interchange (EDI) Specialist (Level III),$127.74,$108.63,$108.63
121,Technical,PC Maintenance Technician (Level I),$50.51,$42.95,$42.95
122,Technical,PC Maintenance Technician (Level II),$58.33,$49.62,$49.62
123,Technical,PC Maintenance Technician (Level III),$96.66,$82.20,$82.20
124,Technical,PC Systems Specialist (Level II),$66.01,$56.15,$56.15
125,Technical,PC Systems Specialist (Level III),$120.55,$102.51,$102.51
126,Technical,Software Systems Engineer (Level I),$65.87,$56.02,$56.02
127,Technical,Software Systems Engineer (Level II),$104.67,$89.01,$89.01
128,Technical,Software Systems Engineer (Level III),$128.74,$109.49,$109.49
129,Technical,Software Systems Engineer (Level IV),$167.19,$142.20,$142.20
130,Technical,Storage Manager (Level I),$59.36,$50.50,$50.50
131,Technical,Storage Manager (Level II),$72.91,$62.01,$62.01
132,Technical,Storage Manager (Level III),$92.17,$78.38,$78.38
133,Technical,Systems Programmer/Administrator (Level I),$63.97,$54.43,$54.43
134,Technical,Systems Programmer/Administrator (Level II),$80.54,$68.51,$68.51
135,Technical,Systems Programmer/Administrator (Level III),$92.17,$78.38,$78.38
136,Technical,Systems Programmer/Administrator (Level IV),$173.19,$147.30,$147.30
137,Technical,Technical Advisor (Level III),$318.03,$318.03,$318.03
138,Test/Hardware Engineering,Test Engineer (Level I),$104.78,$89.11,$89.11
139,Test/Hardware Engineering,Test Engineer (Level II),$129.44,$110.08,$110.08
140,Test/Hardware Engineering,Test Engineer (Level III),$154.46,$131.39,$131.39
141,Test/Hardware Engineering,Hardware Engineer (Level I),$128.30,$109.10,$109.10
142,Test/Hardware Engineering,Hardware Engineer (Level II),$162.53,$138.24,$138.24
143,Test/Hardware Engineering,Hardware Engineer (Level III),$178.11,$151.50,$151.50
144,Web Devleopment,Web Content Analyst (Level I),$62.41,$53.08,$53.08
145,Web Devleopment,Web Content Analyst (Level II),$76.98,$65.49,$65.49
146,Web Devleopment,Web Content Analyst (Level III),$113.37,$96.42,$96.42
147,Web Devleopment,Web Designer (Level I),$103.79,$88.28,$88.28
148,Web Devleopment,Web Designer (Level II),$142.21,$120.96,$120.96
149,Web Devleopment,Web Designer (Level III),$183.97,$156.47,$156.47
