 ,,,,,,,,,,,,,,,,,
Journal Title,Publisher,price ,price,per yr,pages,pages,"10,000 Characters", Factor,cites*,cites,cites,rec cite,Pub,in 1986,OCLC,ever,Field
Journal of Economic Perspectives,Am Ec Assn,47,$27 ,940,3036,$0.05, $0.16 ,3.085,1583,$0.03,313,$0.15,1987,,866,949,General
Journal of Law Economics & Organization,Oxford Univ Press,$72,$36,481,,$0.15,,0.816,1580,$0.05,31,$2.32,1985,,153,170,Law and Econ
Journal of Law and Economics,Univ of Chicago Press,$45,$30,850,2604,$0.05, $0.20 ,1.341,1580,$0.03,55,$0.82,1968,,542,693,Law and Econ
Journal of Economic Literature,Am Ec Assn,47,$27 ,2632,3848,$0.02, $0.05 ,6.405,1530,$0.03,260,$0.18,1963,,972,1836,General
Journal of Public Economics,Elsevier,"$1,431",$180,1880,2924,$0.76, $2.60 ,0.829,1437,$1.00,145,$9.87,1972,1440,141,221,Public Finance
World Development,Elsevier,"$1,450",$230,1145,5480,$1.27 , $2.31 ,0.803,1408,$1.03,220,$6.59,1973,,160,229,Development
European Economic Review,Elsevier,"$1,154","$1,154",1823,2178,$0.63, $2.91 ,0.806,1243,$0.93,174,$6.63,1969,2200,118,238,General
Journal of Environmental Ec. & Mgmt,Academic Press,$590,,636,3096,$0.93, $3.00 ,1.469,1152,$0.51,166,$3.55,1974,950,202,262,Natural Resources
International Economic Review,Blackwell,$145,$58,969,3082,$0.15, $0.49 ,0.835,1113,$0.13,81,$1.79,1960,2000,284,393,General
Journal of Human Resources,Univ of Wisconsin Press,$113,$54,837,3312,$0.14, $0.41 ,1.1,1113,$0.10,77,$1.47,1966,2500,522,741,Labor
Journal of Business   ,Univ of Chicago Press,$74,$27,583,2655,$0.13, $0.48 ,1.184,1083,$0.07,45,$2.51,1928,5000,771,1005,Business
Rand Journal of Economics,RAND,$177,$60,757,3450,$0.23, $0.68 ,0.876,1039,$0.17,78,$2.27,1970,4600,339,937,Ind Organization
Journal of Business & Economic Statistics,Am Stat Assn,$90,$43,510,6360,$0.23, $0.28 ,1.116,988,$0.09,96,$1.84,1983,2400,190,199,Business
Journal of Health Economics,Elsevier,$810,$85,828,2924,$0.98, $3.35 ,2.133,957,$0.85,160,$5.06,1982,600,144,168,Health
Economics Letters,Elsevier,"$1,492","$1,492",1540,3315,$0.97, $2.92 ,0.213,930,$1.60,93,$16.04,1978,,81,108,General
Research Policy,Elsevier,"$1,234 ",$65 ,781,4320,$1.58 , $3.66 ,1.162,922,$1.34,115,$10.73 ,1972,,34,67,Business
Public Choice ,Kluwer,"$1,000","$1,000",1600,2583,$0.63, $2.42 ,0.268,871,$1.15,48,$20.83,1966,1400,171,252,Public Finance
Journal of International Economics,Elsevier,$923,$125,1299,2898,$0.71, $2.45 ,1.186,838,$1.10,102,$9.05,1971,,211,280,International
Journal of Money Credit & Banking,Ohio State Univ. Press,$110,$45,860,3168,$0.13, $0.40 ,1.115,834,$0.13,116,$0.95,1969,,512,658,Macroeconomics
Economica,Blackwell,$122,$40,565,3120,$0.22, $0.69 ,0.539,825,$0.15,48,$2.54,1933,2850,313,456,General
Journal of Urban Economics,Academic Press,$640,,1058,2666,$0.60, $2.27 ,0.88,787,$0.81,73,$8.77,1974,1100,230,303,Urban and Regional
Journal of Economic History,Cambridge Univ Pres,$115,,1200,4029,$0.10, $0.24 ,0.857,737,$0.16,66,$1.74,1941,3300,643,938,Ec History
Journal of Labor Economics,Univ of Chicago Press,$138,$46,600,2728,$0.23, $0.84 ,0.868,733,$0.19,66,$2.09,1983,1450,269,309,Labor
Land Economics,Univ of Wisconsin Press,$95,$45,580,3672,$0.16, $0.45 ,1.636,730,$0.13,126,$0.75,1925,2600,437,639,Urban and Regional
Journal of Development Economics,Elsevier,"$1,146",$135,1110,2816,$1.03, $3.67 ,0.688,707,$1.62,86,$13.33,1974,1100,142,173,Development
Journal of Legal Studies,Univ of Chicago Press,$45,$30,530,2625,$0.08, $0.32 ,,700,$0.06,337,$0.13,1972,,238,283,Law and Econ
Journal of Economic Behavior & Org.,Elsevier,"$1,154",$96,1380,3330,$0.84, $2.51 ,0.398,698,$1.65,47,$24.55,1980,410,75,104,Theory
Economic Inquiry,Oxford Univ Press,$206,$30,684,4134,$0.30, $0.73 ,0.554,684,$0.30,62,$3.32,1962,2000,366,765,General
Demography,Pop Assn America,$85,$80,568,6859,$0.15, $0.22 ,1.833,670,$0.13,55,$1.55,1964,,413,564,Demography
Journal of Business Ethics,Kluwer,$914,$282,1270,3650,$0.72, $1.97 ,0.147,662,$1.38,40,$22.85,1981,,385,510,Business
Journal of Management Studies,Blackwell,$686,$99,850,3456,$0.81, $2.34 ,0.729,654,$1.05,164,$4.18,1964,,222,301,Management Science
Southern Economic Journal,Southern Econ. Assn,$97,$50,1032,3680,$0.09, $0.26 ,0.303,646,$0.15,50,$1.94,1932,4000,524,720,General
Journal of Economic Dynamics & Control,Elsevier,"$1,046",$65,1636,2945,$0.64, $2.17 ,0.556,636,$1.64,84,$12.45,1979,,58,81,Theory
Oxford Bull. Of Econ. & Statistics,Blackwell,$346,$118,545,2655,$0.63, $2.39 ,0.554,617,$0.56,41,$8.44,1939,1400,127,255,General
Journal of Banking and Finance,Elsevier,"$1,539",$266,1911,2516,$0.81, $3.20 ,0.465,602,$2.56,74,$20.80,1977,1000,172,227,Finance
Economic Development & Cultural Change,Univ of Chicago Press,$128,$42,889,2700,$0.14, $0.53 ,0.493,597,$0.21,33,$3.88,1952,4000,515,736,Development
Oxford Economic Papers,Oxford Univ. Press,$205,$74,767,2924,$0.27, $0.91 ,0.671,582,$0.35,51,$4.02,1949,2600,271,414,General
Applied Economics,Routledge,"$2,120","$2,120","1,683","5,445",$1.26, $2.31 ,0.232,578,$3.67,79,$26.84,1958,1000,146,266,General
Risk Analysis,Kluwer,$590 ,$590 ,1260,4628,$0.47 , $1.01 ,,574,$1.03,250,$2.36 ,1981,,98,126,Insurance
Canadian Journal of Economics,Blackwell,$120,$40,1247,2992,$0.10, $0.32 ,0.265,556,$0.22,65,$1.85,1967,3000,305,709,General
Review of Financial Studies,Oxford Univ. Press,$175,$45,1235,2604,$0.14, $0.54 ,1.014,547,$0.32,73,$2.40,1988,,95,105,Finance
Economic History Review,Blackwell,$163,$72,846,3570,$0.19, $0.54 ,1.127,545,$0.30,71,$2.30,1947,4000,390,540,Ec History
Health Economics,Wiley,$575,$290,736,4264,$0.78, $1.83 ,2.159,544,$1.06,190,$3.03,1992,,29,31,Health
Urban Studies,Carfax,$742 ,$196 ,1711,3747,$0.43 , $1.16 ,,508,$1.46,119,$6.24,1964,,222,316,Urban and Regional
National Tax Journal,National Tax Assn.,$90,,785,2940,$0.11, $0.39 ,0.482,502,$0.18,5,$18.00,1948,2000,552,849,Public Finance
Ecological Economics,Elsevier,"$1,170","$1,170",1990,4128,$0.59, $1.42 ,1.057,499,$2.34,148,$7.91,1989,,40,44,Natural Resources
Journal of Industrial Economics,Blackwell,$160,$57,476,2684,$0.34, $1.25 ,0.589,497,$0.32,33,$4.85,1953,1900,283,406,Ind Organization
Decision Sciences,Georgia State Univ,$82,,1067,3124,$0.08, $0.25 ,,495,$0.17,45,$1.82,1970,,322,408,Management Science
Economy and Society,Routledge,$224,$74,640,2970,$0.35, $1.18 ,0.213,488,$0.46,52,$4.31,1971,,97,132,General
Population & Development Review,Population Council,$36,$36,910,2904,$0.04, $0.14 ,1.293,445,$0.08,141,$0.26,1975,6000,218,286,Demography
Regional Studies ,Carfax,$759,$216,911,4988,$0.83, $1.67 ,,440,$1.73,209,$3.63,1967,4000,91,178,Urban and Regional
Journal of International Money and Finance,Elsevier,$743,$95,940,2660,$0.79, $2.97 ,0.835,427,$1.74,86,$8.64,1981,,120,150,International
Journal of Mathematical Economics,Elsevier,"$1,147",$115,1340,2940,$0.86, $2.91 ,0.289,418,$2.74,28,$40.96,1974,N.R.,79,112,Theory
Journal of Applied Econometrics,Wiley,$870,$870,689,3680,$1.26, $3.43 ,0.836,412,$2.11,56,$15.54,1986,,81,101,Econometrics
Games and Econ. Behavior,Academic Press,$490,,1197,2460,$0.41, $1.66 ,0.532,412,$1.19,82,$5.98,1988,,45,53,Theory
Journal of Accounting & Economics,Elsevier,$710,$70,1112,2945,$0.64, $2.17 ,0.479,406,$1.75,23,$30.87,1979,900,154,193,Interdisciplinary
Journal of Regional Science,Blackwell,$142 ,$80 ,764,2992,$0.19 , $0.62 ,0.433,397,$0.36,59,$2.41 ,1961,,242,382,Urban and Regional
Econometric Theory,Cambridge Univ Pres,$280,$120,899,2948,$0.31, $1.06 ,0.4,390,$0.72,48,$5.83,1985,,65,70,Econometrics
Journal of Development Studies,Frank Cass,$290,$75,1125,2604,$0.26, $0.99 ,0.621,388,$0.75,75,$3.87,1964,1600,227,322,Development
Journal of Financial and Quantitative Analysis,Univ Wash Press,$95,$45,500,3314,$0.19, $0.57 ,0.727,388,$0.24,40,$2.38,1966,,394,502,Finance
Journal of Risk and Uncertainty,Kluwer,$481,$220,595,3476,$0.81, $2.33 ,0.603,383,$1.26,38,$12.66,1990,,47,55,Insurance
International Journal of Game Theory,Springer,$436,,582,3366,$0.75, $2.23 ,0.535,382,$1.14,38,$11.47,1971,,52,80,Theory
Regional Science & Urban Econ,Elsevier,$614,,802,2967,$0.77, $2.58 ,0.71,370,$1.66,44,$13.95,1971,1000,99,229,Urban and Regional
World Bank Economic Review,Oxford University Press,$50,$30,547,,$0.09 ,,1.732,357,$0.14,42,$0.71,1987,,84,98,Development
Journal of Economic Issues,Assn Ev. Economics,$45,$35,1003,2870,$0.04, $0.16 ,0.42,355,$0.13,63,$0.71,1967,2200,462,609,Public Finance
Cambridge Journal of Economics,Oxford Univ Press,$272,$82,814,3545,$0.33, $0.94 ,0.667,351,$0.77,58,$4.69,1976,1550,163,190,General
Scandinavian Journal of Economics,Blackwell,$296,$72,688,2666,$0.43, $1.61 ,0.379,339,$0.87,25,$11.84,1898,1150,98,227,General
Operations Research Letters,Elsevier,$442,,460,4056,$0.96, $2.37 ,,338,$1.31,74,$5.97,1982,,59,76,Management Science
Journal of Forecasting,Wiley,$760,$255,516,4032,$1.47, $3.65 ,0.418,317,$2.40,28,$27.14,1982,,137,187,Specialized
International Journal of Industrial Organization,Elsevier,$799,$799,1230,3124,$0.65, $2.08 ,0.528,313,$2.55,47,$17.00,1983,800,81,98,Ind Organization
Journal of Inst. & Theoretical Econ.,Mohr Siebeck,$211,$155,792,3402,$0.27, $0.78 ,1.03,313,$0.67,68,$3.10,1844,920,33,44,General
Journal of Futures Markets,Wiley,"$1,140","$1,140",990,2460,$1.15, $4.68 ,0.38,302,$3.77,35,$32.57,1981,1600,152,193,Finance
Journal of Common Market Studies,Blackwell,$506,$160,710,2747,$0.71, $2.59 ,2.04,299,$1.69,102,$4.96,1962,1500,214,313,Area Studies
British Journal of Industrial Relations,Blackwell,$262,$107,663,3450,$0.40, $1.15 ,0.731,294,$0.89,38,$6.89,1963,2000,82,147,Specialized
Journal of Transport Economics & Policy,LSE and Univ of Bath,$133,$54,406,3182,$0.33, $1.03 ,0.605,292,$0.46,26,$5.12,1967,1375,95,139,Specialized
Economic Theory,Springer,$899,$69,1493,2806,$0.60, $2.15 ,0.4,264,$3.41,54,$16.65,1992,,165,303,Theory
Explorations in Economic History,Academic Press,$265,$265,447,2904,$0.59, $2.04 ,0.452,261,$1.02,19,$13.95,1963,1000,199,496,Ec History
Kyklos,Helbing & Lichtenhahn,$270,$270,618,2760,$0.44, $1.58 ,0.654,254,$1.06,34,$7.94,1948,3500,186,310,General
International Journal of Production Economics,Elsevier,"$1,538",$140,1785,,$0.86,,,253,$6.08,127,$12.11,1976,,39,56,Specialized
International Journal of Forecasting,Elsevier,$437,$80,464,4324,$0.94, $2.18 ,0.284,249,$1.76,23,$19.00,1985,,57,75,Specialized
Journal of Time Series Analysis,Blackwell,$640,$136,715,,$0.90,,,247,$2.59,31,$20.65,1970,,47,66,Econometrics
Journal of Comparative Economics,Academic Press,$410,$410,803,2442,$0.51, $2.09 ,0.688,245,$1.67,44,$9.32,1977,2200,185,225,Area Studies
Journal of Economic Psychology,Elsevier,$395,$145,802,2535,$0.49, $1.94 ,0.42,245,$1.61,29,$13.62,1981,,61,76,Interdisciplinary
Social Choice & Welfare,Springer,$474,$474,674,2990,$0.70, $2.35 ,0.394,239,$1.98,28,$16.93,1984, ,37,41,Public Finance
Theory and Decision,Kluwer,$595,$595,607,2072,$0.98, $4.73 ,0.14,237,$2.51,8,$74.38,1970,,83,148,Theory
Journal of Labor Research,George Mason Univ,$130,$35,725,3010,$0.18, $0.60 ,0.43,227,$0.57,40,$3.25,1980,1100,221,296,Labor
Economics of Education Review,Elsevier,$448,$155,471,5040,$0.95, $1.89 ,0.29,224,$2.00,20,$22.40,1982,400,73,93,Specialized
Journal of Agricultural Economics,Agric. Econ. Society,$96,$77,277,4218,$0.35, $0.82 ,0.547,220,$0.44,29,$3.31,1948,,43,65,Ag Econ
World Development,Blackwell,$805,$80,1270,2842,$0.63, $2.23 ,0.663,214,$3.76,63,$12.78,1977,1500,101,134,Development
Canadian Journal of Agricultural Economics,Ag Inst of Canada,$122 ,$67 ,722,,$0.17,,0.325,208,$0.59,13,$9.38,1952,600,35,50,Ag Econ
Journal of Risk and Insurance,Am. Risk & Ins. Assn,$90,$75,720,2924,$0.13, $0.43 ,0.421,193,$0.47,24,$3.75,1964,2200,263,416,Insurance
Review of Income and Wealth,Int Assn for Res in I & W,$130,$130,585,3312,$0.22, $0.67 ,0.418,189,$0.69,23,$5.65,1945,1500,120,209,Public Finance
Journal of Productivity Analysis,Kluwer,$424,$220,567,3432,$0.75, $2.18 ,1.383,188,$2.26,65,$6.52,1992,,25,31,General
Economic Record,Ec. Society of Australia,$50,$50,421,4320,$0.12, $0.27 ,0.309,188,$0.27,17,$2.94,1925,3500,183,292,General
Omega,Elsevier,$805,$805,780,4028,$1.03, $2.56 ,,183,$4.40,37,$21.76,1973,,101,175,Business
History of Political Economy,Duke Univ Press,$132,$60,767,2280,$0.17, $0.75 ,0.253,183,$0.72,21,$6.29,1969,1500,288,410,Ec History
Mathematical Social Sciences,Elsevier,$824,$75,697,3420,$1.18, $3.46 ,0.392,180,$4.58,28,$29.43,1981,N.R.,36,55,Interdisciplinary
Economic Policy,Blackwell,$170,$50,440,2856,$0.39, $1.35 ,,179,$0.95,32,$5.31,1985,,56,65,Public Finance
Small Business Economics,Kluwer,$576,$576,678,,$0.85,,0.438,178,$3.24,32,$18.00,1988,,17,18,Business
Journal of PostKeynesian Econ,M.E Sharpe,$186,$75,550,2360,$0.34, $1.43 ,0.352,170,$1.09,25,$7.44,1978,1850,225,287,General
Journal of Policy Modeling,Elsevier,$473,$91,907,2160,$0.52, $2.41 ,0.143,164,$2.88,9,$52.56,1979,2300,67,100,Specialized
Journal of Real Estate Finance and Economics,Kluwer,$476,$240,630,3432,$0.76, $2.20 ,0.588,162,$2.94,40,$11.90,1990,,59,65,Business
Development and Change,Blackwell,$318 ,$77 ,888,2623,$0.36 , $1.37 ,,154,$2.06,34,$9.35 ,1970,,83,100,Development
Scottish J. of Political Economy,Blackwell,$203,$35,596,3036,$0.34, $1.12 ,0.373,151,$1.34,25,$8.12,1953,1200,89,145,General
Weltwirtschaftliches Archiv/ Rev of World Economics,Mohr Siebeck,$99,$99,758,2499,$0.13, $0.52 ,0.329,150,$0.66,24,$4.13,1865,1800,77,109,General
Labor History,Carfax,$165,$48,515,3430,$0.32, $0.93 ,0.256,147,$1.12,100,$1.65,1960,2000,479,678,Labor
European Review of Agricultural Economics,Oxford Univ Press,$255,$77,573,3228,$0.45, $1.38 ,0.46,144,$1.77,23,$11.09,1974,700,21,29,Ag Econ
Energy Economics,Elsevier,$565,$95,495,3038,$1.14, $3.76 ,0.277,143,$3.95,13,$43.46,1978,,52,73,Natural Resources
Manchester School,Blackwell,$336,$197,618,2772,$0.54, $1.96 ,0.215,140,$2.40,14,$24.00,1930,,57,57,General
Public Finance Review,Sage,$394,$84,636,2204,$0.62, $2.81 ,0.113,138,$2.86,7,$56.29,1973,1800,268,532,Public Finance
American Journal of Economics & Sociology,Blackwell,$108 ,$45 ,578,2331,$0.19, $0.80 ,0.205,138,$0.78,18,$6.00,1941,2142,573,888,Interdisciplinary
Journal of Macroeconomics,LSU Press,$85,$40,856,2562,$0.10, $0.39 ,0.209,137,$0.62,18,$4.72,1979,900,183,218,Macroeconomics
Journal of World Trade,Kluwer,$475 ,$475 ,1138,3088,$0.42, $1.35 ,,134,$3.54,40,$11.88,1967,,135,302,International
Review of Industrial Organization,Kluwer,$448,,792,1820,$0.57, $3.11 ,0.381,126,$3.56,37,$12.11,1990,350,58,71,Ind Organization
International Review of Law & Economics,Elsevier,$392,$112,585,3479,$0.67, $1.93 ,0.426,126,$3.11,29,$13.52,1980,600,71,84,Law and Econ
OPEC Review,Blackwell,$259,$102,354,,$0.73,,,125,$2.07,5,$51.80,1977,,19,27,Specialized
Oxford Review of Economic Policy,Oxford Univ Press,$255,$79,600,4284,$0.43, $0.99 ,0.45,124,$2.06,27,$9.44,1985,,29,31,Public Finance
Resource and Energy Economics,Elsevier,$448,$75,416,3010,$1.08, $3.58 ,0.263,122,$3.67,10,$44.80,1978,,33,79,Natural Resources
Journal of Financial Intermediation,Academic Press,$240,,420,2773,$0.57, $2.06 ,0.852,121,$1.98,23,$10.43,1991,,48,54,Finance
Economics and Philosophy,Cambridge Univ Pres,$95,$50,373,2574,$0.25, $0.99 ,0.652,121,$0.79,15,$6.33,1984,,144,165,Interdisciplinary
Journal of the Japanese & Intnl Economies,Academic Press,$355,,451,2541,$0.79, $3.10 ,0.223,119,$2.98,17,$20.88,1986,,50,59,Area Studies
Journal of Economic Education,Heldref,$82,$41,426,2990,$0.19, $0.64 ,0.121,112,$0.73,8,$10.25,1970,2000,386,513,Specialized
Contemporary Economic Policy,Oxford Univ Press,$168,$30,566,4104,$0.30, $0.72 ,0.707,109,$1.54,58,$2.90,1982,,290,593,Public Finance
Journal of Economics,Springer,$680,$410,600,,$1.13,,0.281,103,$6.60,16,$42.50,1930,N.R.,38,57,General
Post-Soviet Geography and Economics,Bellweather Pub,$395 ,$80 ,629,,$0.63 ,,0.655,100,$3.95,36,$10.97 ,1960,,78,91,Area Studies
Annals of Regional Science,Springer,$379 ,,580,2914,$0.65 , $2.24 ,,100,$3.79,18,$21.06 ,1967,,77,135,Urban and Regional
Marine Resource Economics,Marine Resource Foundation,$150,$50,320,,$0.47,,,100,$1.50,7,$21.43,1984,1000,8,20,Natural Resources
Journal of Regulatory Economics,Kluwer,$481,$240,628,3666,$0.77, $2.09 ,0.439,98,$4.91,29,$16.59,1991,,38,44,Ind Organization
Journal of Consumer Affairs,Am Council of Cons Interests,$155,$80,707,,$0.22,,0.212,98,$1.58,7,$22.14,1967,,331,509,Consumer Ec
Bulletin of Indonesian Economic Studies,ANU Press,$54,$42,518,2858,$0.10, $0.36 ,0.7,98,$0.55,21,$2.57,1964,1500,22,35,Specialized
Environmental and Resource Economics,Kluwer,$717,$404,1061,2924,$0.68, $2.31 ,,97,$7.39,64,$11.20,1992,,14,14,Natural Resources
Matekon,M.E. Sharpe,$561,$110,320,,$1.75 ,,,97,$5.78,0,,1995,,15,144,Area Studies
Growth and Change,Blackwell,$123,$53,302,2772,$0.41, $1.47 ,,97,$1.27,28,$4.39,1969,1051,212,337,Development
Economic Modelling,Elsevier,$535,$179,632,2880,$0.85, $2.94 ,0.204,89,$6.01,10,$53.50,1983,,21,29,General
Applied Economics Letters,Routledge,$495,$78,774,"5,610",$0.64, $1.14 ,0.138,89,$5.56,49,$10.10,1994,,69,76,General
Agricultural Economics,Elsevier,$558 ,$588 ,610,4032,$0.91, $2.27 ,,87,$6.41,39,$14.31,1986,,24,46,Ag Econ
Quarterly Review of Econ & Finance,Elsevier,$317,$95,931,3036,$0.34, $1.12 ,,87,$3.64,1,$317.00,1961,,323,443,Finance
Econometric Reviews,Dekker,$650 ,$95 ,448,2418,$1.45, $6.00 ,,85,$7.65,8,$81.25,1981,N.R.,49,60,Econometrics
Empirical Economics,Springer,$464,$464,719,3366,$0.65, $1.92 ,,82,$5.66,13,$35.69,1976,400,24,40,General
Journal of Evolutionary Economics,Springer,$410,$410,526,2989,$0.78, $2.61 ,0.4,81,$5.06,16,$25.63,1991,,9,13,Specialized
Journal of Economics & Business,Elsevier,$392,$86,563,3456,$0.70, $2.01 ,,80,$4.90,9,$43.56,1948,950,291,388,Business
Journal of Housing Economics,Academic Press,$235,$235,330,2623,$0.71, $2.71 ,0.417,78,$3.01,15,$15.67,1982,,27,33,Specialized
Developing Economies,Inst of Devel Econ,$80,$80,539,3345,$0.15, $0.44 ,0.308,76,$1.05,12,$6.67,1963,,87,131,Development
Canadian Public Policy,University of Toronto Press,$100,$53,714,2248,$0.14, $0.62 ,,75,$1.33,15,$6.67,1975,2000,52,75,Public Finance
Economic and Industrial Democracy,Sage,$384,$78,600,,$0.64,,0.225,74,$5.19,9,$42.67,1998,,53,85,Specialized
Journal of Population Economics,Springer,$411,$50,640,3264,$0.64, $1.97 ,0.408,69,$5.96,20,$20.55,1987,,27,30,Demography
Finance and Stochastics,Springer,$274 ,$50 ,492,3060,$0.56 , $1.82 ,,69,$3.97,69,$3.97,1996,,31,31,Finance
International Organization,MIT,$130 ,$42 ,814,3024,$0.16 , $0.53 ,,69,$1.88,51,$2.55,1947,2900,532,800,Ind Organization
Papers in Regional Science,Springer,$191 ,$191 ,442,2925,$0.43 , $1.48 ,,68,$2.81,5,$38.20,1922,,59,75,Urban and Regional
Brookings Papers,Brookings Inst.,$62,$36,394,2368,$0.16, $0.66 ,0.121,67,$0.93,4,$15.50,1970, ,646,870,Public Finance
Review of Social Economy,Routledge,$172,$60,578,2720,$0.30, $1.09 ,,66,$2.61,24,$7.17,1943,1250,203,323,General
De Economist,Kluwer,$223,$223,579,2594,$0.39, $1.48 ,,62,$3.60,10,$22.30,1852,1000,25,50,General
Insurance: Mathematics & Economics,Elsevier,$835,$835,745,4263,$1.12, $2.63 ,0.242,61,$13.69,15,$55.67,1982,,15,29,Insurance
Journal of Economic Surveys,Blackwell,$355,$80,674,2835,$0.53, $1.86 ,,61,$5.82,39,$9.10,1987,,45,51,General
Economics and Politics,Blackwell,$315,$60,340,,$0.93,,,61,$5.16,9,$35.00,1988,,35,37,Public Finance
Review of Black Political Economy,Transaction,$136,$56,430,,$0.32,,0.122,61,$2.23,5,$27.20,1970,1500,296,400,Specialized
Fiscal Studies,Institute for Fiscal Studies,$165,$108,477,,$0.35,,,60,$2.75,28,$5.89,1979,1400,17,25,Public Finance
Review of Agricultural Economics,Am Ag Assn,$48,$30,580,,$0.08,,,58,$0.83,9,$5.33,1991,,30,47,Ag Econ
Japan and the World Economy,Elsevier,$355,$50,577,3443,$0.62, $1.79 ,0.157,56,$6.34,11,$32.27,1988,,27,31,Area Studies
Australian Economic Papers,Blackwell,$115,$43,495,3792,$0.23, $0.61 ,,51,$2.25,7,$16.43,1961,,61,99,General
International Tax and Public Finance,Kluwer,$429,$150,640,,$0.67,,,50,$8.58,41,$10.46,1994,,5,5,Public Finance
Information Economics and Policy,Elsevier,$371,$50,442,2924,$0.84, $2.87 ,,50,$7.42,14,$26.50,1984,600,30,37,Specialized
Post-Communist Economies,Carfax,$542,$152,561,,$0.97,,0.462,47,$11.53,24,$22.58,1989,,15,23,Area Studies
Economic Development Quarterly,Sage,$284 ,$146 ,385,3318,$0.74, $2.22 ,,47,$6.04,1,$284.00,1987,,110,138,Development
China Economic Review,Elsevier,$242,$95,167,3619,$1.45, $4.00 ,0.5,47,$5.15,13,$18.62,1989,,16,17,Area Studies
Applied Financial Economics,Routledge,$645,$645,647,,$1.00,,,46,$14.02,21,$30.71,1989,,86,103,Finance
Economics of Innovation and New Technology,Gordon & Breach,$499,$95,380,,$1.31,,,46,$10.85,7,$71.29,1990,,3,5,Ind Organization
Economics of Transition,Blackwell,$329,$63,805,,$0.41,,,46,$7.15,46,$7.15,1999,,22,24,Area Studies
European Journal of Industrial Relations,Sage,$243,$61,347,,$0.70,,1.125,45,$5.40,36,$6.75,1995,,6,6,Ind Organization
Bulletin of Economic Research,Blackwell,$341,$51,349,,$0.98,,,44,$7.75,1,$341.00 ,1948,600,64,101,General
Journal of Media economics,Lawrence Erlbaum Associates,$230 ,$40 ,285,,$0.81 ,,0.4,44,$5.23,12,$19.17,1988,,46,50,Specialized
Atlantic Economic Journal ,Intnl Atlantic Ec. Soc.,$171,$59,447,3139,$0.38, $1.22 ,,44,$3.89,12,$14.25,1972,1500,148,202,General
Comparative Economic Studies,Assn for Comp Ec Studies,$100 ,$40 ,457,,$0.22 ,,,44,$2.27,22,$4.55,1959,,95,109,Development
Journal of Economics & Management Strategy,MIT Press,$135,$45,602,2394,$0.22, $0.94 ,0.407,42,$3.21,22,$6.14,1992,,37,38,Management Science
