book name,charts,macros,input,errors,boolean,dates,real,integer,string,blank,referenced,formula,errors,boolean,dates,real,integer,string,blank,referencing,referenced,sumif,countif,choose,hlookup,index,indirect,lookup,match,offset,if,Problem cells,Problem Book,
01.xls,No,No,204,0,0,0,67,67,70,0,44,32,0,0,0,0,32,0,0,32,24,0,0,0,0,0,0,0,0,0,0,0,No,
012004PList.xls,No,No,1995,0,0,515,0,21,1459,0,20,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,No,
01200r1P802-15_TG2-Ma#A7DA0.xls,No,No,409,0,0,1,24,48,336,0,26,36,0,0,0,36,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,No,
01997_Evaluations.xls,No,No,173,0,0,10,0,45,118,0,0,326,0,0,0,315,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
01readsdis.xls,No,No,953,0,0,0,349,326,278,0,135,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,
01sumdat.xls,No,No,4193,0,0,69,830,1135,2159,0,1363,349,0,0,0,288,61,0,0,349,72,0,0,0,0,0,0,0,0,0,0,0,No,
02_03cor.xls,No,No,4333,0,0,595,551,505,2682,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
02f202assignment%234soln.xls,No,No,210,0,0,20,9,50,131,0,30,36,0,0,0,3,33,0,0,25,17,0,0,0,0,0,0,0,0,0,0,0,No,
02rise.xls,No,No,5755,0,0,88,17,5234,416,0,5179,10316,0,0,0,0,10316,0,0,10316,10301,0,0,0,0,0,0,0,0,0,0,0,No,
03%20rTMS%20depressio#A84B4.xls,No,No,2504,0,0,21,229,480,1774,0,32,8,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,No,
03_04cor.xls,No,No,6676,0,0,833,575,956,4312,0,1089,1097,0,0,0,0,1089,8,0,1089,0,0,0,0,0,0,0,0,0,0,0,0,Yes,
03_Quarterly_Chapter_#A840A.xls,No,No,430,0,0,4,0,303,123,0,150,75,0,0,0,0,75,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,No,
03_Stochastic_Systems#A9172.xls,No,No,46,0,0,0,0,40,6,0,20,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No,
030320b.xls,No,No,2638,0,0,5,643,423,1567,0,327,12,0,0,0,2,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,No,
030731csnb.xls,No,No,417,0,0,0,163,139,115,0,278,172,0,0,0,145,27,0,0,109,106,0,0,0,0,0,0,0,0,0,0,0,No,
030902.xls,No,No,105,0,0,0,0,87,18,0,75,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,No,
031001.xls,No,No,75,0,0,0,0,57,18,0,45,35,0,0,0,0,35,0,0,19,15,0,0,0,0,0,0,0,0,0,0,0,No,
03-1-report-annex-4.xls,No,No,543,0,0,0,21,289,233,0,197,355,0,0,0,110,242,3,0,355,184,0,0,0,0,184,0,0,331,0,147,0,No,
03-3xx-en.xls,No,No,939,0,0,37,1,29,872,0,0,626,0,0,0,0,622,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,No,
03-HFCForms-030703.xls,No,No,158,0,0,0,0,23,135,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
03PFMJOURnalBOOKSFina#A7ED3.xls,No,No,178,0,0,0,0,36,142,0,36,64,0,0,0,0,64,0,0,64,38,0,0,0,0,0,0,0,0,0,0,0,No,
03Q1MAJORE2.xls.1,No,No,1062,0,0,0,4,531,527,0,620,132,0,0,0,0,127,5,0,132,85,0,0,0,0,0,0,0,0,0,0,0,No,
03Q3MAJORE2.xls.1,No,No,1390,0,0,0,4,832,554,0,825,196,0,0,0,8,184,4,0,192,137,0,0,0,0,0,0,0,0,0,0,0,No,
03singapore_elec_gene#A8236.xls,No,No,116,0,0,0,19,47,50,0,46,37,0,0,0,24,13,0,0,37,36,0,0,0,0,0,0,0,0,0,0,0,No,
04%20En%20R&D-CRB-SOR#A8312.xls,No,No,1997,0,0,0,126,942,929,0,877,288,0,0,0,0,288,0,0,288,132,0,0,0,0,0,0,0,0,0,0,0,No,
04NCLB-A.xls,No,No,930,0,0,0,76,215,639,0,0,242,0,0,0,0,220,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,No,
05-00-046.xls,No,No,141,0,0,0,0,0,141,0,4,40,0,0,0,0,40,0,0,40,24,0,0,0,0,0,0,0,0,0,0,0,No,
05-98-024.xls,No,No,547,0,0,0,0,1,546,0,0,146,146,0,0,0,0,0,0,146,36,0,0,0,0,0,0,0,0,0,0,0,No,
06singapore_scenarios.xls,No,No,245,0,0,0,33,98,114,0,99,140,0,0,0,75,65,0,0,140,120,0,0,0,0,0,0,0,0,0,0,0,No,
07%20Modeling%20&%20S#A804A.xls,No,No,300,0,0,0,0,0,300,0,0,19,0,0,0,19,0,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,No,
082302_wqt_planned_wq#A8304.xls,No,No,469,0,0,39,0,43,387,0,17,27,0,0,0,0,27,0,0,27,25,0,0,0,0,0,0,0,0,0,0,0,No,
098_01.xls,No,No,10432,0,0,76,3,7955,2398,0,7281,8505,290,0,0,3973,4242,0,0,7017,4167,5,0,0,0,0,0,0,0,0,0,0,No,
0Fall00Eval.xls,No,No,361,0,0,0,21,240,100,0,129,555,2,0,0,300,253,0,0,364,236,0,0,0,0,0,0,0,0,0,0,0,No,
1&2%20posted%20grades.xls,No,No,192,0,0,0,90,0,102,0,93,9,0,0,0,0,9,0,0,9,6,0,6,0,0,0,0,0,0,0,0,0,No,
1000sub.xls,No,No,7971,0,0,1,864,3934,3172,0,996,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,
1010-004-post4.xls,No,No,1041,0,0,0,85,920,36,0,956,326,0,0,0,95,231,0,0,326,148,0,0,0,0,0,0,0,0,0,0,0,No,
101Ach07template.xls,No,No,360,0,0,3,15,81,261,0,2,20,0,0,0,0,0,20,0,20,18,0,0,0,0,0,0,0,0,0,0,0,No,
101-F_F96.xls,No,No,162,0,0,0,0,119,43,0,114,61,0,0,0,32,22,7,0,49,40,0,0,0,0,0,0,0,0,0,7,0,No,
10341003.xls,No,No,59,0,0,0,0,18,41,0,0,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,39,0,No,
104r.xls,No,No,201,0,0,1,0,1,199,0,0,22,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,No,
104R-Degree-Plan-worksheet.xls,No,No,659,0,0,0,10,43,606,0,20,26,0,0,0,0,26,0,0,26,23,0,0,0,0,0,0,0,0,0,0,0,No,
1213.xls,No,No,228,0,0,4,0,154,70,0,10,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No,
12-31-03%207%20Year%20F#A7AD8.1,No,No,196,0,0,0,0,145,51,0,76,48,0,0,0,0,48,0,0,48,35,0,0,0,0,0,0,0,0,0,0,0,No,
1269supply.xls,No,No,93,0,0,0,1,3,89,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,No,
134_document.xls,No,No,78,0,0,0,0,45,33,0,38,83,0,0,0,0,83,0,0,83,72,0,0,0,0,0,0,0,0,0,0,0,No,
140%20-%20MR%20Financ#A7B27.xls,No,No,13,0,0,0,0,0,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
143LIST&GRADES.xls,No,No,274,0,0,0,0,146,128,0,160,52,0,0,0,50,2,0,0,52,48,0,0,0,0,0,0,0,0,0,0,0,No,
146_database.xls,No,No,777,0,0,113,26,129,509,0,104,58,0,0,0,0,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,No,
14611835.xls,No,No,3099,0,0,0,1028,58,2013,0,22,11,0,0,0,9,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,No,
14764777.xls,No,No,171,0,0,0,108,0,63,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,
151_005_instruments_v#A934B.xls,No,No,2706,0,0,0,2,332,2372,0,4,10,0,0,0,0,10,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,No,
17504.xls,No,No,331,0,0,0,0,178,153,0,178,91,0,0,0,0,91,0,0,91,84,0,0,0,0,0,0,0,0,0,0,0,No,
1999%20PWR%20Effluent-DRAFT.xls,No,No,1908,0,0,0,433,111,1364,0,543,1439,0,0,0,1195,244,0,0,1362,688,0,0,0,0,0,0,0,0,0,0,0,No,
1999-2001.xls,No,No,943,0,0,0,293,217,433,0,415,231,0,0,0,191,40,0,0,231,108,0,0,0,0,0,0,0,0,0,0,0,No,
1999-2002_MATH_Grades#A8B8A.xls,No,No,1150,0,0,0,747,309,94,0,630,556,0,0,0,378,178,0,0,556,68,0,0,0,0,0,0,0,0,0,0,0,No,
1999GroupFinancialSum#A7D02.xls,No,No,357,0,0,0,245,27,85,0,211,80,0,0,0,78,2,0,0,77,24,0,0,0,0,0,0,0,0,0,0,0,No,
1999RISEAnnualReport(4).xls,No,No,1299,0,0,7,18,750,524,0,708,13300,0,0,0,18,13282,0,0,13300,13289,0,0,0,0,0,0,0,0,0,0,0,No,
1A6EGrades.xls,No,No,1538,0,0,0,584,936,18,0,278,278,0,0,0,223,55,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,No,
1ffal03_allstudents_w.xls.1,No,No,1972,0,0,0,366,1140,466,0,824,1251,0,0,0,0,1251,0,0,1251,1229,0,0,0,0,0,0,0,0,0,0,0,No,
1pspr04_allstudents_w.xls.1,No,No,2000,0,0,0,369,1169,462,0,840,1262,0,0,0,0,1262,0,0,1262,1240,0,0,0,0,0,0,0,0,0,0,0,No,
1qecon00.xls,No,No,1081,0,0,0,598,387,96,0,75,80,0,0,0,73,7,0,0,80,50,0,0,0,0,0,0,0,0,0,0,0,No,
1-Teacher%20Resources.xls,No,No,1134,0,0,36,0,284,814,0,0,120,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
2000%20BWR%20Effluent-DRAFT.xls,No,No,1477,0,0,0,344,125,1008,0,445,1235,0,0,0,976,259,0,0,1197,926,0,0,0,0,0,0,0,0,0,0,0,No,
2000_places_School.xls,No,No,2411,0,0,0,0,1661,750,0,1650,1375,0,0,0,1115,260,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,No,
2000_QTRINFOe.xls,No,No,1694,0,0,104,1282,134,174,0,80,16,0,0,0,6,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,No,
2000_reser_School.xls,No,No,93,0,0,0,0,54,39,0,54,45,0,0,0,43,2,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,No,
2001_LP1.xls,No,No,1809,0,0,2,195,495,1117,0,127,46,0,0,0,16,30,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,No,
2001financialstatements.xls,No,No,464,0,0,0,0,278,186,0,255,120,0,0,0,6,114,0,0,120,98,0,0,0,0,0,0,0,0,0,0,0,No,
2002%20Project%20Reports.xls,No,No,569,0,0,0,16,89,464,0,85,11,0,0,0,0,11,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,No,
2002%20Year%20end%20-#A84F2.xls,No,No,968,0,0,11,55,383,519,0,260,156,0,0,0,14,138,4,0,132,89,0,0,0,0,0,0,0,0,0,0,0,No,
2002_03_electronic_fi#A7DD3.xls,No,No,3520,0,0,0,0,2245,1275,0,24,8,0,0,0,0,8,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,No,
2002_certification_ma#A7CB3.xls,No,No,155,0,0,0,10,12,133,0,1,44,30,0,0,0,14,0,0,44,14,0,0,0,0,0,0,0,0,0,0,0,No,
2002_netlib_mu_del.xls,No,No,566,0,0,0,0,237,329,0,78,4,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,No,
2002-03yearendreport.xls,No,No,2522,0,0,0,1096,110,1316,0,98,18,4,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,No,
2002CP%E9%9B%86%E8%A8#A873B.xls,No,No,8533,0,0,90,0,6770,1673,0,6780,9204,378,0,0,4335,4486,5,0,6588,3973,5,0,0,0,0,0,0,0,0,0,0,No,
2002fairreport.xls,No,No,1428,0,0,2,0,307,1119,0,39,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No,
2002Qvols.xls,No,No,1799,0,0,0,11,1483,305,0,1483,2184,0,0,0,0,2184,0,0,2176,1996,0,0,0,0,0,0,0,0,0,0,0,No,
2002-Table6.xls,No,No,172,0,0,0,66,52,54,0,81,25,1,0,0,18,6,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,No,
2003%20Applications%2#A92C1.xls,No,No,456,0,0,10,20,109,317,0,119,38,0,0,0,13,25,0,0,32,24,0,0,0,0,0,0,0,0,0,0,0,No,
2003_04_sage_electron#A8920.xls,No,No,2216,0,0,0,1064,18,1134,0,15,5,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,No,
20030114144840!Superi#A7DEA.xls,Yes,No,1410,0,0,3,248,528,631,0,553,957,0,0,10,680,267,0,0,758,856,0,0,0,0,0,0,0,0,0,102,0,No,
2003-08_'04%20budget-#A8AA7.xls,No,No,301,0,0,0,1,143,157,0,144,64,0,0,0,25,39,0,0,31,58,0,0,0,0,0,0,0,0,0,0,0,No,
20031017112201!Aug200#A7DEB.xls,Yes,No,1260,0,0,4,245,364,647,0,75,958,0,0,10,651,297,0,0,127,159,0,0,0,0,0,0,0,0,0,105,0,No,
2003113145043.xls,No,No,461,0,0,0,41,155,265,0,139,265,0,0,0,150,78,6,31,249,145,0,0,0,0,0,0,0,0,0,68,0,No,
2003-4%20budget.xls,Yes,No,893,0,0,6,34,352,501,0,377,492,0,0,0,370,122,0,0,463,200,0,0,0,0,0,0,0,0,0,0,0,No,
2003AssHistForms.xls,No,No,106,0,0,0,0,11,95,0,0,768,0,0,0,0,762,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,No,
2003-fairact.xls,No,No,1010,0,0,0,130,335,545,0,75,9,0,0,0,8,1,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,No,
2003Fall.xls,No,No,533,0,0,7,0,98,428,0,85,242,0,0,0,0,16,226,0,127,0,0,0,0,0,0,0,0,0,0,0,0,No,
2003FinalPopAgeStruct#A857A.xls,No,No,939,0,0,0,102,492,345,0,454,28,0,0,0,11,17,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,No,
2003pt1.xls.2,No,No,1791,0,0,0,0,0,1791,0,1438,225,0,0,0,0,225,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,No,
2003pt2.xls.1,No,No,1772,0,0,0,0,0,1772,0,1452,186,0,0,0,0,186,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,No,
2004%20Building%20Sequence.xls,No,No,591,0,0,102,0,14,475,0,0,132,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
2004_PUBLIC_BUGS_INVENTORY.XLS,No,No,72690,0,0,39,5689,19868,47094,0,4846,4913,0,0,0,1758,3155,0,0,4847,66,0,0,0,0,0,0,0,0,0,0,0,No,
2004-05.UniversityAdv#A838A.xls,No,No,589,0,0,10,20,20,539,0,10,42,0,0,0,0,42,0,0,20,15,0,0,0,0,0,0,0,0,0,0,1,No,
2004forstrysamplebudget.xls,No,No,204,0,0,0,1,70,133,0,71,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No,
2004WkShtTemplate.xls,No,No,465,0,0,0,83,36,346,0,80,213,0,0,3,163,39,8,0,174,137,0,0,0,0,0,0,0,0,0,0,0,No,
201%20exam%202%20revi#A7C3B.xls,No,No,772,0,0,11,0,193,568,0,12,5,0,0,0,0,5,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,No,
202_grades_final_web.xls.3,No,No,757,0,0,0,1,632,124,0,560,170,0,0,0,10,160,0,0,170,66,0,0,0,0,0,0,0,0,0,31,0,No,
20201grades.xls,No,No,1696,0,0,0,335,895,466,0,1096,448,0,0,0,277,171,0,0,448,418,0,0,0,0,0,0,0,0,0,0,0,No,
235kdroba1.xls,Yes,No,669,0,0,0,396,166,107,0,527,584,0,0,0,539,45,0,0,584,516,0,0,0,0,0,0,0,0,0,0,0,No,
244grcalc.xls,No,No,81,0,0,0,0,30,51,0,0,25,0,0,0,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
2-45.xls,No,No,62,0,0,1,0,0,61,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,
2619126_Fin_Form_Prog#A7B83.xls,No,No,295,0,0,0,0,99,196,0,0,41,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,No,
262grades.xls,No,No,487,0,0,0,13,447,27,0,414,184,0,0,0,43,95,46,0,184,138,0,0,0,0,0,0,0,0,0,46,0,No,
2669056.xls,No,No,2147,0,0,0,694,942,511,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
28_ALL.xls.1,No,No,4401,0,0,0,1507,1726,1168,0,611,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,No,
2810gradesfa03.xls,No,No,1241,0,0,2,2,914,323,0,868,206,0,0,0,99,107,0,0,206,123,0,0,0,0,0,0,0,0,0,0,0,No,
296-ratios.xls,No,No,371,0,0,6,50,147,168,0,174,478,0,0,0,0,478,0,0,476,292,0,0,0,0,0,0,0,0,0,0,0,No,
2k00.xls,No,No,858,0,0,0,19,302,537,0,263,251,0,0,0,238,13,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,No,
2nd_tier_form.xls,No,No,3091,0,0,293,877,19,1902,0,19,16,3,0,0,0,13,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,No,
3_4.xls,No,No,290,0,0,0,124,2,164,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
30day.xls,No,No,129,0,0,2,0,91,36,0,92,125,0,0,29,0,94,2,0,125,121,0,0,0,0,0,0,0,0,0,2,0,No,
30Sep03InvVsPOM04TMRC#A87F6.xls,No,No,378,0,0,0,15,233,130,0,192,144,0,0,0,0,144,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,No,
310Grades.xls,No,No,1238,0,0,0,0,1198,40,0,84,84,0,0,0,0,84,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,No,
315%20Grades%20-%20Fa#A889A.xls,No,No,1214,0,0,36,136,390,652,0,419,24,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,No,
320%20write-up%20and%#A9248.xls,No,No,122,0,0,0,6,48,68,0,5,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,No,
3234_perisables.xls.3,No,No,339,0,0,0,0,0,339,0,0,429,0,0,0,0,384,45,0,384,368,0,0,0,0,0,0,0,0,0,0,0,No,
3234-1-R.xls.1,No,No,31,0,0,0,0,16,15,0,0,52,0,0,0,0,52,0,0,20,49,0,0,0,0,0,0,0,0,0,0,0,No,
330grades.xls.4,No,No,581,0,0,0,19,531,31,0,450,200,0,0,0,47,103,50,0,200,150,0,0,0,0,0,0,0,0,0,50,0,No,
3660%20schedule%20S2003.xls,No,No,97,0,0,2,0,16,79,0,1,31,0,0,31,0,0,0,0,31,30,0,0,0,0,0,0,0,0,0,0,0,No,
372_gs04.xls.1,No,No,2030,0,0,0,129,1133,768,0,1443,69,0,0,0,0,31,38,0,69,0,0,0,0,0,0,0,0,0,0,0,0,No,
3763250_Q304_factsheet.xls,No,No,763,0,0,0,382,163,218,0,456,200,0,0,0,174,26,0,0,198,77,0,0,0,0,0,0,0,0,0,0,0,No,
385_gs04.xls,No,No,3333,0,0,0,215,1779,1339,0,2361,127,0,0,0,0,51,76,0,127,0,0,0,0,0,0,0,0,0,0,0,0,No,
3GPP_3GPP2_Harm2_doc_list.xls,No,No,25,0,0,0,0,0,25,0,18,6,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,No,
3rd%20quarter.xls,No,No,504,0,0,0,0,118,386,0,75,114,0,0,0,0,114,0,0,114,81,0,0,0,0,0,0,0,0,0,0,0,No,
4.f._FinReport.xls,No,No,99,0,0,0,1,32,66,0,40,103,0,0,0,0,103,0,0,101,95,0,0,0,0,0,0,0,0,0,46,0,No,
4020%20Grades.xls,No,No,484,0,0,0,0,472,12,0,414,58,0,0,0,58,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,No,
414GradeCalc.xls,No,No,165,0,0,0,26,40,99,0,85,24,5,0,0,4,8,7,0,24,16,0,0,0,0,0,0,0,0,0,0,0,No,
421GradeCalc.xls,No,No,194,0,0,0,56,44,94,0,87,20,9,0,0,7,2,2,0,20,16,0,0,0,0,0,0,0,0,0,0,0,No,
421lab2.xls,No,No,40,0,0,0,2,17,21,0,18,64,0,0,0,36,28,0,0,64,15,0,0,0,0,0,0,0,0,0,0,0,No,
478802.xls,No,No,233,0,0,0,0,0,233,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
4-Year%20Planning%20Sheet.xls.9,No,No,712,0,0,0,8,84,620,0,0,2358,27,1575,0,5,751,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,No,
5%20-%20Textbook%20In#A89AB.xls,No,No,12,0,0,0,0,0,12,0,0,52,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
5_11.xls,No,No,809,0,0,0,313,305,191,0,528,180,0,0,0,177,3,0,0,180,4,0,0,0,0,0,0,0,0,0,0,0,No,
5_Year_Summary3.xls,No,No,575,0,0,2,10,412,151,0,17,10,0,0,0,0,10,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,No,
5020040301180232.xls,No,No,50,0,0,0,0,15,35,0,15,8,0,0,0,0,8,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,No,
505_syllabus.xls,No,No,127,0,0,1,3,5,118,0,2,54,0,0,0,0,54,0,0,54,25,0,0,0,0,0,0,0,0,0,0,0,No,
509afin.xls,No,No,52,0,0,2,0,18,32,0,18,25,0,0,0,0,6,19,0,24,6,0,0,0,0,0,0,0,0,0,0,0,No,
511Grades.xls,No,No,1676,0,0,1,47,1531,97,0,1541,381,0,0,0,196,153,32,0,381,346,0,0,0,0,0,0,0,0,0,32,0,No,
531Grades.xls,No,No,1114,0,0,0,121,906,87,0,990,221,0,0,0,115,85,21,0,219,175,0,0,0,0,0,0,0,0,0,21,0,No,
552syl98.xls,No,No,125,0,0,1,0,45,79,0,1,47,0,0,47,0,0,0,0,47,31,0,0,0,0,0,0,0,0,0,0,0,No,
56Year_Two.xls,No,No,488,0,0,44,0,0,444,0,0,216,0,0,23,0,10,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
57Year_two.xls,No,No,517,0,0,16,0,0,501,0,0,421,0,0,16,0,12,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
586_2.xls,No,No,5347,0,0,0,3534,191,1622,0,1192,149,0,0,0,0,0,149,0,149,0,0,0,0,0,0,0,0,0,0,149,0,No,
5yrPlanECEf.xls,No,No,4353,0,0,0,0,0,4353,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
6.xls,Yes,No,1104,0,0,0,390,373,341,0,415,21,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,No,
6313syllabus.xls,No,No,388,0,0,51,13,91,233,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,
656%20Website%20Analy#A8A79.xls,No,No,141,0,0,0,0,136,5,0,68,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,
6CoAnalysis.xls,No,No,570,0,0,0,0,0,570,0,0,596,520,0,0,0,70,6,0,326,276,0,0,0,0,0,0,0,0,0,0,0,No,
7_gradebook_xls.xls,No,No,597,0,0,0,51,225,321,0,296,1219,1219,0,0,0,0,0,0,1127,460,0,0,0,184,0,0,0,0,0,0,0,No,
73102%20Analysis%20of#A7EDA.xls,No,No,149,0,0,0,0,38,111,0,38,12,0,0,0,0,12,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,No,
73102%20Financial%20S#A8703.xls,No,No,556,0,0,4,4,0,548,0,0,564,0,0,1,319,244,0,0,129,548,0,0,0,0,0,0,0,0,0,0,0,No,
7-31-03%20Analysis%20#A7ED9.xls,No,No,68,0,0,0,0,14,54,0,14,5,0,0,0,0,5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,No,
8_18.xls.2,No,No,422,0,0,0,48,158,216,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
800260%20hpdrc.xls,No,No,1532,0,0,18,75,644,795,0,159,472,0,0,1,143,282,46,0,96,51,0,0,0,0,0,0,0,0,0,15,63,No,
85HWandLabAssignments#A932B.xls,No,No,140,0,0,0,54,62,24,0,32,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,
890Homework3F02Answers.xls,No,No,562,0,0,3,190,127,242,0,266,486,0,0,0,359,126,1,0,478,285,0,0,0,0,0,0,0,0,0,18,0,No,
941form.xls,No,No,543,0,0,1,0,361,181,0,1,345,0,0,0,0,345,0,0,345,332,0,0,0,0,0,0,0,0,0,0,0,No,
