,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,Julian day,SOD,J[NH4],J[NO3],J[PO4],J[Si],J[Mn],O2(0),NH4(0),NO3(0),PO4(0),Si(0),T,,Treatment,Julian day,Mnd,Mnp,pH,O2(0),Treatment,Julian day,Mnd,Mnp,pH,O2(0)
C8  ,264,1.094,47.1,4.1,5.8,124.7,6.31,6.09,113.6,39.4,55.0,954,17.6,,C5,853,14.2,3.6,8.26,10.28,8X,390,11.3,1.4,8.00,10.56
C8  ,307,0.547,11.5,0.3,5.3,137.2,3.25,8.46,107.2,106.9,51.2,691,10.6,,C5,885,20.6,5.3,8.05,8.04,8X,442,11.9,,8.83,17.50
C8  ,376,0.149,3.5,1.3,0.8,13.6,1.38,11.64,7.4,91.9,19.3,147,0.9,,C5,915,16.4,7.3,7.94,6.77,8X,497,14.4,7.6,8.31,13.51
C8  ,439,0.530,3.1,0.7,0.8,21.4,2.23,12.27,7.6,2.2,6.6,29,4.0,,C5,945,15.8,10.6,7.77,6.41,8X,538,34.1,3.8,7.30,6.06
C8  ,502,1.284,37.3,6.1,4.7,294.1,4.03,7.90,9.2,4.3,14.1,476,13.6,,C5,974,16.3,16.5,7.85,6.41,8X,558,38.2,4.9,4.21,4.25
C8  ,546,1.970,70.7,5.6,       ,      ,10.00,6.58,46.0,15.3,21.8,790,18.7,,C5,995,3.0,7.9,7.88,6.94,8X,584,35.8,4.3,7.13,2.74
C8  ,565,1.879,60.0,3.9,6.5,      ,14.56,5.67,9.1,10.8,20.2,1172,21.8,,C8,147,10.4,,,8.67,8X,645,25.9,3.2,7.30,3.40
C8  ,594,1.879,60.3,5.6,3.0,195.2,       ,4.83,270.7,32.1,72.4,1856,22.0,,C8,175,11.5,,8.07,8.30,8X,702,11.3,3.2,7.67,6.10
C8  ,642,0.950,33.4,9.4,-3.3,124.9,10.55,6.15,108.9,53.2,44.0,982,16.3,,C8,237,10.5,,7.84,6.00,8X,776,8.2,1.0,8.07,10.66
C8  ,698,0.454,4.2,7.3,0.7,43.1,2.43,8.02,72.6,111.8,38.1,691,8.2,,C8,265,6.7,,7.84,6.08,8X,826,7.6,3.0,8.59,14.73
C8  ,859,1.099,24.3,8.2,3.6,115.1,4.66,8.28,3.9,3.2,5.9,463,19.6,,C8,279,7.7,4.7,7.85,6.42,8X,853,12.1,7.0,8.19,9.47
C8  ,908,2.198,60.7,5.6,9.7,280.3,5.19,6.35,16.0,25.8,13.3,808,19.6,,C8,310,16.8,,7.84,8.10,8X,885,22.6,9.0,7.84,6.16
C8  ,936,1.884,61.6,15.4,10.3,238.9,9.17,5.80,36.8,12.0,25.4,1321,20.5,,C8,348,7.4,1.6,8.10,10.11,8X,915,25.8,8.7,7.54,4.83
C8  ,992,1.486,81.0,0.6,24.6,30.8,10.75,6.48,38.7,15.8,37.8,1256,21.2,,C8,377,4.8,,8.19,11.16,8X,945,23.4,7.7,7.43,4.59
1X  ,146,0.792,31.8,1.1,6.0,41.4,5.21,7.76,10.9,5.7,24.0,408,17.3,,C8,390,2.7,3.6,8.53,14.47,8X,974,17.0,10.9,7.46,3.57
1X  ,180,1.171,45.1,1.1,7.2,118.3,1.88,7.47,72.7,18.2,40.4,379,19.2,,C8,441,9.8,,8.48,12.80,8X,995,18.8,5.1,7.41,2.59
1X  ,208,1.471,61.8,0.6,3.3,19.1,4.32,7.34,5.9,2.7,36.4,377,19.1,,C8,496,11.9,,8.01,8.36,16X,141,14.2,,,8.50
1X  ,236,1.315,72.9,        ,-0.1,      ,6.99,6.84,31.4,13.4,48.9,769,17.6,,C8,538,5.5,6.0,7.92,7.04,16X,176,3.3,,8.34,14.00
1X  ,264,2.246,131.8,4.1,33.3,239.9,8.32,8.18,30.1,22.0,49.1,83,17.3,,C8,555,9.3,12.0,7.94,6.17,16X,225,38.0,,7.73,6.25
1X  ,307,0.970,18.6,4.4,3.8,42.7,2.17,9.42,128.1,97.6,57.3,72,11.0,,C8,583,23.5,4.1,7.87,5.29,16X,254,28.3,,7.46,3.97
1X  ,376,0.278,6.4,2.6,0.8,11.3,0.54,11.59,107.6,200.3,53.6,196,1.0,,C8,642,19.0,13.6,7.88,6.36,16X,279,29.1,2.7,7.46,4.26
1X  ,439,0.370,11.1,0.7,1.2,12.5,3.21,17.17,5.6,1.7,4.7,17,3.8,,C8,699,12.5,2.8,7.93,7.98,16X,309,22.2,,7.52,5.80
1X  ,502,1.831,55.5,2.3,7.6,      ,15.26,8.65,9.0,6.4,25.8,62,14.2,,C8,826,7.7,2.0,8.17,10.16,16X,343,17.4,1.6,7.76,8.11
1X  ,546,2.143,100.6,9.1,10.3,347.5,13.29,6.72,154.8,42.2,46.8,526,18.8,,C8,853,9.7,1.7,8.22,8.96,16X,380,10.7,,8.17,14.30
1X  ,565,2.657,117.2,3.0,18.1,      ,22.25,6.76,6.7,2.5,22.3,822,20.8,,C8,885,13.1,1.9,7.96,7.40,16X,390,3.6,9.1,8.50,15.15
1X  ,594,1.781,58.3,4.1,15.5,      ,8.45,3.14,210.9,81.5,81.8,2263,21.1,,C8,915,14.6,2.3,7.88,6.24,16X,447,10.1,,8.70,13.62
1X  ,642,1.476,53.0,-4.4,8.8,211.8,6.20,5.03,205.5,94.4,78.4,1699,17.0,,C8,945,18.8,4.6,7.68,6.02,16X,498,12.1,4.9,8.60,15.82
1X  ,698,0.732,5.9,15.3,1.1,77.5,1.53,7.16,192.2,159.4,61.9,949,8.5,,C8,974,23.3,4.8,7.80,6.08,16X,524,12.3,21.4,8.36,9.53
1X  ,859,1.618,36.3,11.7,5.4,168.5,4.45,8.44,62.3,42.5,22.9,435,18.4,,C8,995,29.7,5.5,7.81,6.23,16X,559,13.4,18.6,8.17,7.51
1X  ,908,2.441,58.5,25.2,5.8,      ,4.50,5.91,60.1,50.4,28.8,1094,18.4,,1X,148,14.2,,,8.10,16X,583,26.2,5.1,7.58,3.86
1X  ,936,1.740,67.0,13.2,13.2,293.8,10.03,5.57,88.1,56.2,50.5,1340,20.5,,1X,182,23.7,,7.84,6.80,16X,646,25.6,4.8,7.58,5.60
1X  ,992,1.699,113.4,-2.5,20.9,360.0,5.63,4.44,114.9,23.3,74.3,1556,21.8,,1X,225,18.2,,7.93,7.35,16X,702,12.5,2.4,7.74,7.30
2X  ,140,0.499,17.6,1.4,4.2,257.0,2.15,8.81,10.4,4.2,26.1,334,14.0,,1X,255,14.3,,7.96,8.33,16X,777,6.2,2.4,8.72,15.40
2X  ,180,       ,8.1,-4.2,0.3,-16.7,7.18,10.55,13.4,2.8,48.2,29,19.0,,1X,279,14.8,6.6,7.82,6.81,16X,826,5.5,8.7,8.70,14.34
2X  ,208,1.843,98.7,0.2,5.2,79.5,14.95,9.16,7.0,4.2,63.0,39,20.5,,1X,308,12.6,,7.96,9.37,16X,853,6.7,6.9,8.58,12.95
2X  ,236,1.874,100.9,        ,9.3,      ,4.50,5.99,57.7,16.5,66.5,850,17.8,,1X,348,11.5,2.5,8.02,9.47,16X,885,10.5,7.3,8.41,10.85
2X  ,264,1.450,57.7,22.4,4.1,61.0,8.27,6.38,353.3,64.9,87.2,1067,16.8,,1X,378,7.9,,8.11,10.80,16X,915,5.5,10.8,8.00,7.88
2X  ,307,0.703,10.8,3.3,1.9,-36.0,1.39,7.85,382.2,175.3,96.4,915,11.8,,1X,390,3.0,3.0,8.51,15.20,16X,945,8.4,9.9,7.66,5.78
2X  ,390,0.178,0.7,3.1,0.7,1.7,0.22,13.65,90.2,326.3,71.7,71,0.0,,1X,440,9.3,,8.78,17.31,16X,974,18.9,4.3,7.52,3.15
2X  ,439,0.665,30.1,4.7,5.4,34.3,2.23,15.39,87.1,33.3,34.8,55,4.2,,1X,497,17.9,1.6,8.34,11.05,16X,995,15.1,1.4,7.56,4.12
2X  ,502,1.651,50.6,8.7,9.5,169.7,10.72,8.73,419.3,72.9,57.3,364,14.9,,1X,538,19.8,17.3,7.93,8.13,32X,141,13.1,,,8.50
2X  ,546,2.244,92.5,-0.4,10.5,66.0,28.04,7.55,197.4,50.4,46.1,649,19.0,,1X,556,23.0,12.5,7.89,7.22,32X,195,13.3,,8.56,11.76
2X  ,565,2.006,100.4,-8.3,       ,      ,21.78,4.84,217.4,73.0,75.9,1032,20.8,,1X,584,24.0,8.6,7.82,6.03,32X,235,4.7,12.9,8.28,6.70
2X  ,594,0.343,46.8,0.8,8.3,79.7,20.27,4.53,349.7,164.8,111.2,999,19.9,,1X,644,26.7,8.2,7.72,5.10,32X,249,16.0,10.6,7.74,2.78
2X  ,642,0.996,27.6,10.7,2.3,54.2,9.53,5.51,351.7,248.3,146.8,547,18.0,,1X,700,13.7,1.3,7.86,7.30,32X,279,20.1,2.7,7.53,4.13
2X  ,698,0.442,-3.1,12.8,3.0,23.7,0.74,8.08,252.7,257.8,105.6,453,9.1,,1X,826,6.2,2.2,8.33,11.68,32X,313,,,8.27,13.29
2X  ,775,0.259,-0.2,5.0,1.9,12.6,0.07,12.21,240.1,205.8,91.4,308,4.0,,1X,853,8.9,3.6,8.15,9.47,32X,343,10.1,4.1,8.05,8.91
2X  ,859,1.090,26.3,1.6,5.8,41.9,10.76,13.91,5.3,2.8,9.3,12,13.5,,1X,885,15.9,3.0,7.94,7.53,32X,387,9.3,,8.54,14.30
2X  ,908,1.596,55.8,3.6,18.4,113.3,18.83,8.46,6.4,3.4,21.1,34,18.3,,1X,915,16.5,3.4,7.79,6.23,32X,390,11.5,2.5,8.51,14.37
2X  ,936,1.243,59.3,-0.1,16.1,127.9,11.14,8.72,43.7,15.6,49.9,318,20.8,,1X,945,20.8,5.7,7.69,6.02,32X,447,6.9,,8.53,13.62
2X  ,994,1.860,73.7,        ,23.9,185.1,5.54,8.00,49.9,71.5,115.8,342,21.9,,1X,974,29.9,13.5,7.68,4.93,32X,498,4.1,8.0,8.77,16.68
4X  ,140,0.593,17.3,2.1,-0.8,-51.7,2.22,8.89,7.7,3.2,23.7,297,14.3,,1X,995,39.3,6.9,7.59,4.29,32X,538,6.0,18.1,8.39,10.76
4X  ,180,1.001,109.5,2.6,54.9,13.2,23.35,11.48,12.5,2.9,41.4,35,19.5,,2X,140,14.3,,,8.50,32X,560,8.0,14.6,8.22,9.10
4X  ,208,1.819,102.4,5.6,19.8,166.1,22.81,6.44,247.4,17.8,91.2,597,19.3,,2X,196,8.2,,8.21,10.20,32X,582,27.3,6.4,7.62,3.63
4X  ,236,1.822,173.5,        ,-29.0,      ,6.40,3.86,515.8,118.5,129.1,840,18.2,,2X,238,19.0,,7.77,6.40,32X,646,18.0,1.9,7.80,4.80
4X  ,264,1.421,36.7,-14.6,7.3,110.1,8.99,4.88,524.8,238.0,148.8,1300,16.5,,2X,255,15.7,3.3,7.75,6.30,32X,701,1.2,12.0,7.81,7.20
4X  ,314,0.787,-9.1,13.4,6.3,76.4,1.85,7.24,632.4,388.9,169.0,994,9.5,,2X,279,11.8,10.4,7.78,6.70,32X,778,8.9,0.8,8.30,12.70
4X  ,376,0.229,1.8,5.2,0.9,8.0,0.12,14.82,320.5,514.2,164.6,26,0.8,,2X,310,17.8,,7.68,7.50,32X,826,2.3,4.2,8.75,16.60
4X  ,447,0.667,41.0,2.1,6.8,47.5,1.43,19.44,172.7,379.8,128.2,79,5.2,,2X,348,10.4,2.7,7.99,9.40,32X,853,4.8,4.9,8.66,13.82
4X  ,502,1.901,73.9,0.5,41.2,84.3,16.21,8.25,435.9,110.8,137.5,238,15.0,,2X,387,5.4,,8.35,13.20,32X,885,8.0,5.4,8.50,13.35
4X  ,546,2.506,124.7,6.5,23.9,      ,26.35,9.01,300.8,149.1,91.9,822,19.5,,2X,390,5.2,2.7,8.40,13.84,32X,915,12.6,5.1,7.81,6.69
4X  ,565,2.554,114.9,-14.0,27.4,182.8,34.51,5.08,330.4,128.5,148.8,1006,19.9,,2X,441,14.4,,8.75,15.50,32X,945,22.2,7.8,7.40,4.73
4X  ,594,2.909,91.3,-8.0,23.4,      ,27.02,3.95,500.9,271.5,211.1,1245,21.3,,2X,497,15.5,0.8,8.12,8.15,32X,974,21.8,5.0,7.34,4.44
4X  ,642,1.282,37.2,1.4,6.4,95.7,10.32,5.33,618.4,330.4,235.1,813,17.0,,2X,538,18.7,10.4,8.09,8.56,32X,995,17.2,2.0,7.53,5.03
4X  ,698,0.622,-13.1,51.4,-0.5,26.2,1.53,7.48,546.8,448.6,90.1,596,9.0,,,,,,,,,,,,,
4X  ,775,0.210,1.0,6.3,1.6,4.9,0.02,14.41,366.2,284.8,123.6,129,3.0,,,,,,,,,,,,,
4X  ,859,1.022,55.2,4.6,14.0,52.4,4.14,12.98,48.8,28.3,72.5,301,21.8,,,,,,,,,,,,,
4X  ,908,1.337,75.3,4.2,       ,216.6,16.38,6.34,308.8,131.8,149.3,403,21.7,,,,,,,,,,,,,
4X  ,936,1.956,104.9,5.5,26.0,127.0,10.39,11.06,197.0,53.8,129.1,109,21.8,,,,,,,,,,,,,
4X  ,992,3.055,96.0,2.6,28.3,193.3,6.70,4.27,113.3,153.3,173.7,802,21.4,,,,,,,,,,,,,
8X  ,146,0.677,31.0,-0.6,1.2,75.0,7.79,8.47,9.2,4.5,19.0,377,17.8,,,,,,,,,,,,,
8X  ,180,2.170,90.0,9.9,11.7,20.0,       ,16.23,19.9,18.9,77.3,25,20.0,,,,,,,,,,,,,
8X  ,208,2.366,131.5,1.9,6.2,-71.5,13.21,7.01,745.6,59.4,137.8,849,20.5,,,,,,,,,,,,,
8X  ,236,4.229,        ,        ,28.8,      ,0.45,3.75,911.8,172.9,163.1,1355,18.2,,,,,,,,,,,,,
8X  ,264,1.762,19.6,-41.4,1.7,79.2,       ,4.66,880.1,433.7,213.0,1564,16.5,,,,,,,,,,,,,
8X  ,314,1.006,-20.3,5.6,-6.3,149.3,3.15,5.97,1088.3,685.2,275.3,1080,9.7,,,,,,,,,,,,,
8X  ,384,0.324,-19.4,18.2,-1.8,35.5,0.05,10.04,1103.1,859.7,363.9,649,0.6,,,,,,,,,,,,,
8X  ,439,0.353,42.8,6.6,10.2,48.3,3.57,17.82,750.1,933.3,396.9,-6,4.6,,,,,,,,,,,,,
8X  ,509,3.643,147.7,-1.2,34.2,80.4,10.92,10.75,776.0,431.9,272.2,973,15.4,,,,,,,,,,,,,
8X  ,546,2.856,94.8,-8.2,26.0,165.1,3.20,5.02,1149.4,460.1,273.2,1278,19.3,,,,,,,,,,,,,
8X  ,572,2.734,131.9,        ,31.0,      ,0.35,2.43,1330.7,487.5,371.7,1892,20.9,,,,,,,,,,,,,
8X  ,594,2.227,71.2,-36.3,       ,-18.2,0.37,3.28,1252.9,787.6,430.0,1364,23.2,,,,,,,,,,,,,
8X  ,642,2.222,-59.6,-1.4,-8.5,80.6,0.45,3.13,928.0,805.0,425.5,1235,18.0,,,,,,,,,,,,,
8X  ,698,0.900,-40.8,-19.5,9.8,85.7,1.24,6.15,882.3,811.7,310.3,1032,10.5,,,,,,,,,,,,,
8X  ,775,0.720,-27.4,35.7,2.6,24.2,0.55,10.67,880.1,818.3,313.1,574,3.4,,,,,,,,,,,,,
8X  ,859,1.001,24.7,10.4,2.7,61.9,5.76,8.09,4.6,2.8,4.6,517,12.3,,,,,,,,,,,,,
8X  ,859,2.196,42.3,-1.2,18.7,103.6,5.76,8.09,712.5,424.5,263.9,432,13.0,,,,,,,,,,,,,
8X  ,908,2.098,56.0,-2.8,24.2,118.2,0.27,4.31,896.4,487.5,312.5,1063,18.3,,,,,,,,,,,,,
8X  ,936,2.251,75.1,-3.0,26.1,120.1,2.83,4.53,902.7,456.9,332.3,1218,22.0,,,,,,,,,,,,,
8X  ,992,2.652,196.8,-21.8,73.1,148.4,0.57,2.84,805.4,359.4,339.1,1113,22.2,,,,,,,,,,,,,
16X ,140,0.643,32.3,0.8,6.4,250.5,4.38,8.65,9.5,4.9,25.8,298,14.0,,,,,,,,,,,,,
16X ,180,2.042,175.7,5.4,15.9,-25.9,9.96,13.02,951.0,56.2,220.3,440,19.5,,,,,,,,,,,,,
16X ,208,3.017,235.6,-5.8,48.6,307.9,17.84,6.55,1882.5,214.9,414.3,671,21.2,,,,,,,,,,,,,
16X ,236,2.321,46.0,        ,-78.2,      ,4.21,5.27,1867.5,438.8,483.4,1493,18.0,,,,,,,,,,,,,
16X ,264,1.524,        ,-0.4,-6.6,154.0,4.68,3.51,1877.8,970.5,498.4,1975,18.0,,,,,,,,,,,,,
16X ,307,1.133,-48.9,20.0,-14.3,-10.6,2.04,6.10,2056.0,1195.5,549.7,1554,10.6,,,,,,,,,,,,,
16X ,342,0.761,-83.9,6.3,-3.9,35.5,2.12,7.78,1873.0,1356.2,567.8,1294,7.7,,,,,,,,,,,,,
16X ,384,0.470,-48.4,31.4,0.8,0.0,0.25,13.86,1564.6,1554.1,561.0,20,1.4,,,,,,,,,,,,,
16X ,447,0.814,9.1,-15.7,4.6,51.0,2.67,14.12,2616.6,2206.3,939.0,0,5.0,,,,,,,,,,,,,
16X ,506,       ,        ,        ,       ,      ,9.02,      ,       ,       ,       ,     ,       ,,,,,,,,,,,,,
16X ,509,2.474,245.0,-61.1,97.8,131.5,8.59,15.30,1985.8,1073.2,1013.6,1457,15.0,,,,,,,,,,,,,
16X ,553,2.959,157.9,128.4,52.8,225.4,27.25,13.50,1962.0,787.4,756.6,173,19.2,,,,,,,,,,,,,
16X ,565,3.134,293.5,-456.3,       ,      ,30.09,5.36,1943.9,536.9,822.4,87,19.3,,,,,,,,,,,,,
16X ,600,3.230,        ,-12.6,       ,      ,3.71,3.07,3786.3,283.6,1153.3,997,21.8,,,,,,,,,,,,,
16X ,650,1.349,165.1,-19.5,2.7,108.1,0.87,4.55,3891.8,453.8,929.1,1024,17.2,,,,,,,,,,,,,
16X ,705,0.854,-50.9,-210.1,6.9,40.8,1.10,7.45,3165.3,735.4,626.5,1031,9.0,,,,,,,,,,,,,
16X ,775,0.437,-2.9,73.0,7.7,7.9,2.49,15.79,2042.0,1000.2,579.4,11,1.5,,,,,,,,,,,,,
16X ,859,1.327,111.7,-7.3,32.8,81.6,11.16,13.70,1619.4,515.0,469.8,15,12.1,,,,,,,,,,,,,
16X ,908,2.172,136.1,296.5,41.0,174.9,12.33,7.00,1915.9,533.4,558.7,25,18.9,,,,,,,,,,,,,
16X ,936,2.186,204.2,-21.6,70.2,204.7,15.42,6.56,1409.5,749.8,541.7,35,22.1,,,,,,,,,,,,,
16X ,996,1.901,101.7,5.6,8.8,125.3,2.86,3.76,1334.2,619.7,600.5,1112,20.2,,,,,,,,,,,,,
32X ,140,0.600,27.1,1.2,3.9,324.0,4.42,8.68,10.2,36.1,25.1,383,14.1,,,,,,,,,,,,,
32X ,180,0.864,-161.4,75.4,       ,-50.6,11.42,14.93,2757.4,41.3,602.6,26,18.6,,,,,,,,,,,,,
32X ,208,1.332,325.3,-0.3,34.3,164.4,20.43,9.54,3540.0,111.2,765.1,47,21.5,,,,,,,,,,,,,
32X ,236,3.331,        ,        ,85.6,      ,9.48,3.84,3760.3,285.9,789.3,122,18.2,,,,,,,,,,,,,
32X ,264,1.906,-104.5,        ,15.6,144.1,6.90,3.51,3905.1,902.9,908.0,1598,17.3,,,,,,,,,,,,,
32X ,314,1.212,43.2,2.3,-21.3,281.7,       ,13.21,3276.8,817.3,638.8,1266,10.8,,,,,,,,,,,,,
32X ,342,0.562,16.6,1.6,-21.6,-12.7,1.04,8.33,3814.2,828.0,920.5,1411,7.5,,,,,,,,,,,,,
32X ,384,0.533,-22.6,13.3,0.0,7.1,0.35,15.61,4441.7,1495.8,1038.8,238,0.4,,,,,,,,,,,,,
