,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.
College of Arts & Sciences,40.0801,001903,PHYSICS-OPTICS AND LASERS ,2,1,,2,,5,,,,,,0, 5 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001904,PHYSICS-COMPUTATIONAL ,,,2,2,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001906,PHYSICS-ASTRONOMY ,,2,5,4,,11,,,,,,0, 11 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002001,PSYCHOLOGY ,171,194,538,605,,"1,508",,,,,,0," 1,508 ",,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002002,PSYCHOLOGY ,71,111,228,272,,682,,,,,,0, 682 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002009,PSYCHOLOGY-INDUSTR & ORGANIZ ,,,,,,0,,,,,26,26, 26 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002011,PSYCHOLOGY - HUMAN FACTORS ,,,,,,0,,,,,51,51, 51 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0101,002031,PSYCHOLOGY - CLINICAL ,,,,,,0,,,,,31,31, 31 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0201,002030,CLINICAL PSYCHOLOGY ,,,,,,0,,,20,,,20, 20 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,42.0901,002008,INDUSTR & ORGANIZ PSYCHOLOGY ,,,,,,0,,,23,,,23, 23 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,43.0106,001925,FORENSIC SCIENCE ,95,68,63,101,,327,,,,,,0, 327 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.0101,004909,SOCIAL SCI-INTERDISCIPLINARY ,2,1,7,12,,22,,,,,,0, 22 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.0201,002202,ANTHROPOLOGY ,9,15,32,64,,120,,,,,,0, 120 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.0601,002204,ECONOMICS ,1,3,9,13,,26,,,,,,0, 26 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002180,POL SCI-PRE LAW ,29,49,81,85,,244,,,,,,0, 244 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002207,POLITICAL SCIENCE ,78,82,94,37,,291,,,24,,,24, 315 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002209,POL SCI-AMER POLITICS & POLICY,2,13,23,61,,99,,,,,,0, 99 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002210,POL SCI-INTL REL COMP POLITICS,8,14,32,76,,130,,,,,,0, 130 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002223,POL SCI-MA ENVIRONMENTAL POL ,,,,,,0,,,8,,,8, 8 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002224,POL SCI BA- INTERNATIONAL STU ,6,4,3,1,,14,,,,,,0, 14 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002225,POL SCI-MA INTERNATIONAL STUD ,,,,,,0,,,8,,,8, 8 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1001,002226,POL SCI-MA POLITICAL ANAL/POL ,,,,,,0,,,7,,,7, 7 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,002208,SOCIOLOGY ,2,11,41,53,,107,,,,,,0, 107 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,002289,APPLIED SOCIOLOGY ,,,,,,0,2,,42,,,44, 44 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,002291,SOCIOLOGY-DOMESTIC VIOLENCE ,,,,,,0,,,13,,,13, 13 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,GC0303,GENDER STUDIES ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,GC2203,MAYA STUDIES ,,,,,,0,,3,,,,3, 3 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,45.1101,GC2291,DOMESTIC VIOLENCE ,,,,,,0,1,5,,,,6, 6 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001007,THEATRE ,27,31,38,36,,132,,,6,,,6, 138 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001021,THEATRE-PERFORMANCE ,8,13,11,13,,45,,,,,,0, 45 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001022,THEATRE-STAGE MGMT ,3,4,10,8,,25,,,,,,0, 25 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001023,THEATRE-TECHN THEATRE DESIGN ,6,5,10,13,,34,,,,,,0, 34 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001025,"THEATRE,M.F.A ",,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001026,THEATRE(M.F.A)- ACTING ,,,,,,0,,,16,,,16, 16 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001027,THEATRE(M.F.A)- DESIGN ,,,,,,0,,,2,,,2, 2 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001028,THEATRE(M.F.A)-MUSICAL THEATRE,,,,,,0,,,9,,,9, 9 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001094,THEATRE-MUSICAL THEATRE ,7,9,10,17,,43,,,,,,0, 43 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0501,001098,THEATRE PENDING ,16,1,2,2,,21,,,,,,0, 21 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000606,FILM ,,13,17,43,,73,,,,,,0, 73 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000607,ART - ANIMATION ,1,1,2,1,,5,,,,,,0, 5 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000608,FILM-GENERAL PROD/SCRN WRITING,,,,2,,2,,,,,,0, 2 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0602,000609,FILM - CINEMA STUDIES ,18,19,41,38,,116,,,,,,0, 116 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0605,001010,PHOTOGRAPHY AS TO BS ,,,,3,,3,,,,,,0, 3 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0605,001092,PHOTOGRAPHY AS TO BS ,,,2,2,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0701,001002,ART ,68,77,95,121,,361,,,,,,0, 361 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0701,001003,ART HISTORY ,1,3,5,2,,11,,,,,,0, 11 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0702,001001,"ART, BFA ",,,15,81,,96,,,,,,0, 96 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0702,001006,ART(BFA) - ANIMATION ,,,15,25,,40,,,,,,0, 40 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000610,DIGITAL MEDIA ,59,54,61,19,,193,,,,,,0, 193 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000619,DIGITAL MEDIA-GRAPHIC DESIGN ,18,29,32,12,,91,,,,,,0, 91 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000620,DIGITAL MEDIA-COMP ANIMATION ,17,27,18,12,,74,,,,,,0, 74 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000621,DIG MEDIA-COMPUTING FOR MEDIA,3,5,6,5,,19,,,,,,0, 19 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000622,DIG MEDIA-WRITING FOR MEDIA ,1,2,7,7,,17,,,,,,0, 17 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000623,DIGITAL MEDIA-DIGITAL MUSIC ,4,2,4,5,,15,,,,,,0, 15 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,000624,DIG MED-INTERNET/INTERACT SYS ,6,30,64,147,,247,,,,,,0, 247 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0706,UC0610,DIGITAL MEDIA-CERTIFICATE ,,1,,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0903,001004,MUSIC ,4,2,2,13,,21,,,,,,0, 21 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0903,001005,MUSIC PERFORMANCE ,5,6,8,10,,29,,,,,,0, 29 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.0903,001097,MUSIC PENDING ,14,3,5,3,,25,,,,,,0, 25 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.9999,001095,FILM PENDING ,57,26,16,6,,105,,,,,,0, 105 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,50.9999,001099,UND MAJOR (COLLEGE OF A&S) ,17,11,6,2,,36,,,,,,0, 36 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,52.1304,001709,ACTUARIAL SCIENCE ,2,2,5,5,,14,,,,,,0, 14 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,54.0101,002201,HISTORY - PUBLIC HISTORY ,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,54.0101,002205,HISTORY ,28,43,77,113,,261,1,,54,,,55, 316 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,54.0101,002206,HISTORY-HISTORY ACCELERATED MA,,,,,,0,,,1,,,1, 1 ,,,,,,,,,,,,,,,,,
College of Business Administration,31.0504,000524,BUSINESS SPORTS MANAGEMENT ,,,,,,0,,,63,,,63, 63 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000501,GEN BUSINESS ADMINISTRATION ,,1,83,312,,396,,,,,,0, 396 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000512,BUS ADMIN-INTERNATIONAL BUS ,,,1,16,,17,,,,,,0, 17 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000586,BUS ADMIN-GEN BUS (AS TO BS) ,,,2,2,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000588,BUSINESS ADMINISTRATION ,,,,,,0,3,,440,,,443, 443 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000590,UND MAJOR (COL OF BUS) ,,,,,,0,81,,1,,,82, 82 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000594,BUS ADMN-EXECUTIVE MBA ,,,,,,0,,,36,,,36, 36 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000595,BUS ADMN-MBA COHORT ,,,,,,0,,,28,,,28, 28 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000597,BUSINESS PENDING 2 ,,160,600,200,,960,,,,,,0, 960 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0101,000599,BUSINESS PENDING 1 ,807,865,652,212,,"2,536",,,,,,0," 2,536 ",,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000506,MANAGEMENT ,,,157,419,,576,,,1,,,1, 577 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000514,MANAGEMENT-INTERNATIONAL BUS ,,,,18,,18,,,,,,0, 18 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000519,BUS ADMIN - MANAGEMENT ,,,,,,0,,,,,10,10, 10 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000520,BUS ADMIN - MARKETING ,,,,,,0,,,,,7,7, 7 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000522,MANAGEMENT-MGMT INFO SYSTEMS ,,,,4,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000523,BUSINESS ADMINISTRATION-M.I.S.,,,,,,0,,,,,11,11, 11 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000587,BUS ADMIN-FINANCE ,,,,,,0,,,,,9,9, 9 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000593,MANAGEMENT-HR/CHANGE MGMT ,,,,,,0,,,40,,,40, 40 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0201,000598,BUS ADMIN-ACCOUNTING ,,,,,,0,,,,,6,6, 6 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0301,000502,ACCOUNTING ,,1,154,479,,634,,,123,,,123, 757 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0601,000516,ECONOMICS-INTERNATIONAL BUS ,,,,5,,5,,,,,,0, 5 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0601,000517,ECONOMICS ,,,33,71,,104,,,,,,0, 104 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0601,000589,APPLIED ECONOMICS ,,,,,,0,1,,21,,,22, 22 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0801,000504,FINANCE ,,5,188,512,,705,,,,,,0, 705 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.0801,000505,FINANCE-INTERNATIONAL BUS ,,,2,14,,16,,,,,,0, 16 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.1201,000515,MGMT INFORMATION SYSTEMS ,,1,62,321,,384,,,95,,,95, 479 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.1401,000509,MARKETING ,,2,153,441,,596,,,,,,0, 596 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.1401,000511,MARKETING-INTERNATIONAL BUS ,,,1,18,,19,,,,,,0, 19 ,,,,,,,,,,,,,,,,,
College of Business Administration,52.1601,000592,TAXATION ,,,,,,0,1,,45,,,46, 46 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000829,CURRICULUM AND INSTRUCTION ,,,,,,0,1,,,,134,135, 135 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000853,CURRICULUM & INSTRUCTION ,,,,,,0,,,,,14,14, 14 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000871,EDU(PH.D)-COUNSELOR EDUCATION ,,,,,,0,,,,,15,15, 15 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000872,EDU(PH.D) - ELEMENTARY EDU ,,,,,,0,,,,,1,1, 1 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000873,EDU(PH.D) - EXCEPTIONAL EDU ,,,,,,0,,,,,15,15, 15 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000874,EDU(PH.D)-INSTRUCTIONAL TECH ,,,,,,0,,,,,19,19, 19 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000875,EDU(PH.D)-MATHEMATICS EDU ,,,,,,0,,,,,5,5, 5 ,,,,,,,,,,,,,,,,,
College of Education,13.0101,000876,EDU(PH.D)-EXERCISE PHYSIOLOGY ,,,,,,0,,,,,1,1, 1 ,,,,,,,,,,,,,,,,,
College of Education,13.0301,000828,CURRICULUM AND INSTRUCTION ,,,,,,0,4,,24,2,,30, 30 ,,,,,,,,,,,,,,,,,
College of Education,13.0301,GC0803,TEACHING EXCELLENCE ,,,,,,0,,3,,,,3, 3 ,,,,,,,,,,,,,,,,,
College of Education,13.0301,GC0804,INITIAL TCHR PROF PREPARATION ,,,,,,0,,73,,,,73, 73 ,,,,,,,,,,,,,,,,,
College of Education,13.0301,GC0806,CURRICULUM/INSTR-FOREIGN LANG ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,
College of Education,13.0301,GC0810,COMMUNITY COLLEGE EDUCATION ,,,,,,0,,3,,,,3, 3 ,,,,,,,,,,,,,,,,,
College of Education,13.0301,GC0829,CURRICULUM/INSTR-PROFESSORIATE,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,
College of Education,13.0401,000827,EDUCATIONAL LEADERSHIP ,,,,,,0,15,,114,10,154,293, 293 ,,,,,,,,,,,,,,,,,
College of Education,13.0501,000845,INSTR TECH/MEDIA-EDUC MEDIA ,,,,,,0,,,22,,,22, 22 ,,,,,,,,,,,,,,,,,
College of Education,13.0501,000891,INSTR TECH/MEDIA-INSTR SYS ,,,,,,0,,,30,,,30, 30 ,,,,,,,,,,,,,,,,,
College of Education,13.0501,000893,EDUCATIONAL TECHNOLOGY ,,,,,,0,1,,23,,,24, 24 ,,,,,,,,,,,,,,,,,
College of Education,13.0501,GC0893,INSTRUCTIONAL EDU TECHNOLOGY ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,
College of Education,13.1001,000810,EXCEP EDUC-MENTAL RETARDATION ,,,,4,,4,,,,,,0, 4 ,,,,,,,,,,,,,,,,,
College of Education,13.1001,000816,EXCEP EDUC-EMOTIONAL DISTURB ,,,1,7,,8,,,,,,0, 8 ,,,,,,,,,,,,,,,,,
College of Education,13.1001,000818,EXCEP EDUC-SPECIF LEARN DISAB ,,,27,83,,110,,,,,,0, 110 ,,,,,,,,,,,,,,,,,
College of Education,13.1001,000819,EXCEPTIONAL EDUCATION ,,,,,,0,2,,119,,,121, 121 ,,,,,,,,,,,,,,,,,
College of Education,13.1001,GC0809,PRE-K HANDICAPPED ENDORSEMENT ,,,,,,0,,49,1,,,50, 50 ,,,,,,,,,,,,,,,,,
