Id,WBS,WBS_Title,Responsible_LabCode,WBS_Short,SubProject_Code,Parent,GrandParent
233,1.03.02.01,Mechanical Systems,LB,1.3.2.1,FE,1.03.02,1.03
234,1.03.02.02,Electronic Systems,LB,1.3.2.2,FE,1.03.02,1.03
235,1.03.02.03,Systems Integration,LB,1.3.2.3,FE,1.03.02,1.03
236,1.03.03,MEBT,LB,1.3.3,FE,,1.03
237,1.03.03.01,Mechanical Systems,LB,1.3.3.1,FE,1.03.03,1.03
238,1.03.03.02,Electronic Systems,LB,1.3.3.2,FE,1.03.03,1.03
239,1.03.03.03,Systems Integration,LB,1.3.3.3,FE,1.03.03,1.03
240,1.03.04,Technical Support,LB,1.3.4,FE,,1.03
241,1.03.04.01,Management,LB,1.3.4.1,FE,1.03.04,1.03
242,1.03.04.02,Engineering,LB,1.3.4.2,FE,1.03.04,1.03
243,1.03.04.03,Physics,LB,1.3.4.3,FE,1.03.04,1.03
244,1.03.04.04,Administrative,LB,1.3.4.4,FE,1.03.04,1.03
245,1.03.04.05,Travel and S&E Support,LB,1.3.4.5,FE,1.03.04,1.03
702,1.03.05,ORNL Field Coordination,OR,1.3.5,FE,,1.03
959,1.03.05.01,ORNL Field Coordination,OR,1.3.5.1,FE,1.03.05,1.03
246,1.04,Linac Systems,LA,1.4,LI,,
247,1.04.01,RF Power Systems,LA,1.4.1,LI,,1.04
248,1.04.01.01,RF Power Systems,LA,1.4.1.1,LI,1.04.01,1.04
249,1.04.01.02,High Voltage Power Conditioning,LA,1.4.1.2,LI,1.04.01,1.04
250,1.04.01.03,RF Controls,LA,1.4.1.3,LI,1.04.01,1.04
251,1.04.01.04,System Design & Interface,LA,1.4.1.4,LI,1.04.01,1.04
252,1.04.01.05,Bunch Rotator RF Power,LA,1.4.1.5,LI,1.04.01,1.04
253,1.04.02,DTL Systems,LA,1.4.2,LI,,1.04
254,1.04.02.01,DTL Subsystem Integration,LA,1.4.2.1,LI,1.04.02,1.04
255,1.04.02.02,DTL RF Structure,LA,1.4.2.2,LI,1.04.02,1.04
256,1.04.02.03,DTL Drift Tube Assemblies,LA,1.4.2.3,LI,1.04.02,1.04
257,1.04.02.04,DTL Vacuum System,LA,1.4.2.4,LI,1.04.02,1.04
258,1.04.02.05,DTL Water System,LA,1.4.2.5,LI,1.04.02,1.04
259,1.04.02.06,DTL Mechanical Support & Alignment,LA,1.4.2.6,LI,1.04.02,1.04
722,1.04.02.07,DTL System Assembly,LA,1.4.2.7,LI,1.04.02,1.04
723,1.04.02.08,DTL Installation,LA,1.4.2.8,LI,1.04.02,1.04
260,1.04.03,CCDTL Systems,LA,1.4.3,LI,,1.04
261,1.04.03.01,CCDTL Systems Integration,LA,1.4.3.1,LI,1.04.03,1.04
262,1.04.03.02,CCDTL Linac Structure,LA,1.4.3.2,LI,1.04.03,1.04
263,1.04.03.03,CCDTL Magnet System,LA,1.4.3.3,LI,1.04.03,1.04
264,1.04.03.04,CCDTL Vacuum System,LA,1.4.3.4,LI,1.04.03,1.04
265,1.04.03.05,CCDTL Water System,LA,1.4.3.5,LI,1.04.03,1.04
266,1.04.03.06,CCDTL Mech. Support & Alignment System,LA,1.4.3.6,LI,1.04.03,1.04
267,1.04.04,CCL Systems,LA,1.4.4,LI,,1.04
268,1.04.04.01,CCL Subsystem Integration,LA,1.4.4.1,LI,1.04.04,1.04
269,1.04.04.02,CCL Linac Structure,LA,1.4.4.2,LI,1.04.04,1.04
270,1.04.04.03,CCL Magnet System,LA,1.4.4.3,LI,1.04.04,1.04
271,1.04.04.04,CCL Vacuum System,LA,1.4.4.4,LI,1.04.04,1.04
272,1.04.04.05,CCL Water System,LA,1.4.4.5,LI,1.04.04,1.04
273,1.04.04.06,CCL Mechanical Support & Alignment,LA,1.4.4.6,LI,1.04.04,1.04
274,1.04.04.07,CCL System Assembly,LA,1.4.4.7,LI,1.04.04,1.04
724,1.04.04.08,CCL Installation,LA,1.4.4.8,LI,1.04.04,1.04
725,1.04.04.09,HEBT System,LA,1.4.4.9,LI,1.04.04,1.04
275,1.04.05,"Physics, Diagnostics & Commissioning",LA,1.4.5,LI,,1.04
276,1.04.05.01,Chopper Systems,LA,1.4.5.1,LI,1.04.05,1.04
277,1.04.05.02,Diagnostics,LA,1.4.5.2,LI,1.04.05,1.04
278,1.04.05.03,Physics Support,LA,1.4.5.3,LI,1.04.05,1.04
726,1.04.05.04,Commissioning,LA,1.4.5.4,LI,1.04.05,1.04
279,1.04.06,Technical Support,LA,1.4.6,LI,,1.04
280,1.04.06.01,Project Management,LA,1.4.6.1,LI,1.04.06,1.04
281,1.04.06.02,Project Office,LA,1.4.6.2,LI,1.04.06,1.04
282,1.04.06.03,Physics Support,LA,1.4.6.3,LI,1.04.06,1.04
283,1.04.06.04,System Engineering,LA,1.4.6.4,LI,1.04.06,1.04
284,1.04.06.05,QA/QC Support,LA,1.4.6.5,LI,1.04.06,1.04
285,1.04.06.06,Physics/Engineering Management,LA,1.4.6.6,LI,1.04.06,1.04
727,1.04.06.07,SNS Division Management,LA,1.4.6.7,LI,1.04.06,1.04
688,1.04.06.09,Replanning Effort,LA,1.4.6.9,LI,1.04.06,1.04
701,1.04.07,ORNL Field Coordination,OR,1.4.7,LI,,1.04
960,1.04.07.00,ORNL Field Coordination,OR,1.4.7.0,LI,1.04.07,1.04
835,1.04.07.01,Niobium Purchase,OR,1.4.7.1,LI,1.04.07,1.04
842,1.04.07.02,Accelerator Design Confirmation Studies,OR,1.4.7.2,LI,1.04.07,1.04
843,1.04.07.03,Accelerator Design Confirmation Studies,JL,1.4.7.3,LI,1.04.07,1.04
729,1.04.08,Project Services,JL,1.4.8,LI,,1.04
730,1.04.08.01,Project Management,JL,1.4.8.1,LI,1.04.08,1.04
731,1.04.08.02,Project Controls/Business/Office Support,JL,1.4.8.2,LI,1.04.08,1.04
732,1.04.08.03,System Engineering,JL,1.4.8.3,LI,1.04.08,1.04
733,1.04.08.04,ES&H & QA/QC Support,JL,1.4.8.4,LI,1.04.08,1.04
734,1.04.08.05,Physics & Engineering Management,JL,1.4.8.5,LI,1.04.08,1.04
793,1.04.09,Quadrupole Magnet System,LA,1.4.9,LI,,1.04
797,1.04.09.02,Magnet Hardware,LA,1.4.9.2,LI,1.04.09,1.04
796,1.04.09.03,Quadrupole Magnet Systems,LA,1.4.9.3,LI,1.04.09,1.04
743,1.04.10,Medium Beta Cryomodule,JL,1.4.10,LI,,1.04
744,1.04.10.01,Cavity String Assembly Procurements,JL,1.4.10.1,LI,1.04.10,1.04
745,1.04.10.02,Space Frame Assembly Procurements,JL,1.4.10.2,LI,1.04.10,1.04
746,1.04.10.03,Cryomodule Assembly Procurements,JL,1.4.10.3,LI,1.04.10,1.04
747,1.04.10.04,Cavity/Cryomodule Assembly Labor,JL,1.4.10.4,LI,1.04.10,1.04
748,1.04.10.05,Cavity Test,JL,1.4.10.5,LI,1.04.10,1.04
749,1.04.10.06,Cryomodule Installation,JL,1.4.10.6,LI,1.04.10,1.04
750,1.04.10.07,Electrical,JL,1.4.10.7,LI,1.04.10,1.04
751,1.04.11,High Beta Cryomodule,JL,1.4.11,LI,,1.04
759,1.04.11.01,Cavity String Assembly Procurements,JL,1.4.11.1,LI,1.04.11,1.04
760,1.04.11.02,Space Frame Assembly Procurements,JL,1.4.11.2,LI,1.04.11,1.04
761,1.04.11.03,Cryomodule Assembly Procurements,JL,1.4.11.3,LI,1.04.11,1.04
762,1.04.11.04,Cavity/Cryomodule Assembly Labor,JL,1.4.11.4,LI,1.04.11,1.04
763,1.04.11.05,Cavity Test,JL,1.4.11.5,LI,1.04.11,1.04
764,1.04.11.06,Cryomodule Installation,JL,1.4.11.6,LI,1.04.11,1.04
765,1.04.11.07,Electrical,JL,1.4.11.7,LI,1.04.11,1.04
766,1.04.12,Cryogenics System,JL,1.4.12,LI,,1.04
767,1.04.12.01,"CHL Labor, Design, Checkout, Commissioning",JL,1.4.12.1,LI,1.04.12,1.04
768,1.04.12.02,Refrigeration System,JL,1.4.12.2,LI,1.04.12,1.04
769,1.04.12.03,"Controls, Refrigerator & Cryomodule",JL,1.4.12.3,LI,1.04.12,1.04
770,1.04.12.04,Ancillary Equipment,JL,1.4.12.4,LI,1.04.12,1.04
771,1.04.12.05,"Transfer Lines, Linac/Distribution",JL,1.4.12.5,LI,1.04.12,1.04
772,1.04.13,Five CM Production/Repair Assembly Facility,JL,1.4.13,LI,,1.04
773,1.04.13.01,ORNL 1500W Refrigerator (Move),JL,1.4.13.1,LI,1.04.13,1.04
774,1.04.13.02,Transfer Lines,JL,1.4.13.2,LI,1.04.13,1.04
775,1.04.13.03,Vertical Dewars,JL,1.4.13.3,LI,1.04.13,1.04
776,1.04.13.04,RF Systems/Equipment,JL,1.4.13.4,LI,1.04.13,1.04
777,1.04.13.05,Chemistry,JL,1.4.13.5,LI,1.04.13,1.04
778,1.04.13.06,DI Water,JL,1.4.13.6,LI,1.04.13,1.04
779,1.04.13.07,Waste Water Neutralization,JL,1.4.13.7,LI,1.04.13,1.04
780,1.04.13.08,Tooling,JL,1.4.13.8,LI,1.04.13,1.04
781,1.04.13.09,"Shielding, Vertical Test Area",JL,1.4.13.9,LI,1.04.13,1.04
782,1.04.13.10,EDIA,JL,1.4.13.10,LI,1.04.13,1.04
783,1.04.13.11,SRF Building,JL,1.4.13.11,LI,1.04.13,1.04
735,1.04.14,Warm Beam Pipe Vacuum,JL,1.4.14,LI,,1.04
736,1.04.14.01,Manifolds/Pumpdrops,JL,1.4.14.1,LI,1.04.14,1.04
737,1.04.14.02,Valves,JL,1.4.14.2,LI,1.04.14,1.04
738,1.04.14.03,Ion Pumps w/o Power Supply,JL,1.4.14.3,LI,1.04.14,1.04
739,1.04.14.04,Vacuum Fittings,JL,1.4.14.4,LI,1.04.14,1.04
740,1.04.14.05,Roughing Pump Cart,JL,1.4.14.5,LI,1.04.14,1.04
741,1.04.14.06,Vacuum System Installation,JL,1.4.14.6,LI,1.04.14,1.04
742,1.04.14.07,Beamline Assembly Components,JL,1.4.14.7,LI,1.04.14,1.04
289,1.05,Ring and Transfer System,BN,1.5,RI,,
290,1.05.01,HEBT Sytems,BN,1.5.1,RI,,1.05
291,1.05.01.01,HEBT Magnets and Support,BN,1.5.1.1,RI,1.05.01,1.05
292,1.05.01.02,HEBT High Power - Power Supplies,BN,1.5.1.2,RI,1.05.01,1.05
293,1.05.01.03,HEBT Vacuum System,BN,1.5.1.3,RI,1.05.01,1.05
294,1.05.01.04,HEBT Instrumentation,BN,1.5.1.4,RI,1.05.01,1.05
295,1.05.01.05,"HEBT Scraper, Collimator, Shielding",BN,1.5.1.5,RI,1.05.01,1.05
296,1.05.01.06,HEBT Debuncher and Compressor  RF Sys,BN,1.5.1.6,RI,1.05.01,1.05
297,1.05.02,Injection Systems,BN,1.5.2,RI,,1.05
298,1.05.02.01,Pulsed Magnets,BN,1.5.2.1,RI,1.05.02,1.05
299,1.05.02.02,Injection Kicker Power Supply,BN,1.5.2.2,RI,1.05.02,1.05
300,1.05.02.03,D.C. Magnets,BN,1.5.2.3,RI,1.05.02,1.05
301,1.05.02.04,Injection DC Power Supplies,BN,1.5.2.4,RI,1.05.02,1.05
302,1.05.02.05,Stripped Foil,BN,1.5.2.5,RI,1.05.02,1.05
303,1.05.03,Magnet Systems,BN,1.5.3,RI,,1.05
304,1.05.03.01,High Field Magnets,BN,1.5.3.1,RI,1.05.03,1.05
305,1.05.03.02,Low Field Magnets,BN,1.5.3.2,RI,1.05.03,1.05
306,1.05.03.03,Magnet Transport Trailor,BN,1.5.3.3,RI,1.05.03,1.05
307,1.05.03.04,Magnet Measurements,BN,1.5.3.4,RI,1.05.03,1.05
308,1.05.04,Power Supply System,BN,1.5.4,RI,,1.05
309,1.05.04.01,High Power PS System,BN,1.5.4.1,RI,1.05.04,1.05
310,1.05.04.02,"Main Ring 600, 1200, 1500 Watt Power Supplies",BN,1.5.4.2,RI,1.05.04,1.05
311,1.05.05,Ring Vacuum System,BN,1.5.5,RI,,1.05
312,1.05.05.01,Ring Vacuum Chambers,BN,1.5.5.1,RI,1.05.05,1.05
313,1.05.05.02,Ring Vacuum Pumps,BN,1.5.5.2,RI,1.05.05,1.05
314,1.05.05.03,Ring Gate Valves,BN,1.5.5.3,RI,1.05.05,1.05
315,1.05.05.04,Ring Vacuum Instrumentation,BN,1.5.5.4,RI,1.05.05,1.05
316,1.05.05.05,Vacuum Facility and Support,BN,1.5.5.5,RI,1.05.05,1.05
318,1.05.06,RF System,BN,1.5.6,RI,,1.05
319,1.05.06.01,High Level RF System,BN,1.5.6.1,RI,1.05.06,1.05
320,1.05.06.02,Low Level RF System,BN,1.5.6.2,RI,1.05.06,1.05
321,1.05.07,Ring System Diagnostic Instrumentation,BN,1.5.7,RI,,1.05
322,1.05.07.01,Ring Beam Position Monitor System,BN,1.5.7.1,RI,1.05.07,1.05
323,1.05.07.02,Ring Profile Monitors,BN,1.5.7.2,RI,1.05.07,1.05
324,1.05.07.03,Beam Loss Monitors,BN,1.5.7.3,RI,1.05.07,1.05
325,1.05.07.04,Ring Beam Current Monitors (BCM),BN,1.5.7.4,RI,1.05.07,1.05
326,1.05.07.05,Ring Tune Monitor,BN,1.5.7.5,RI,1.05.07,1.05
327,1.05.07.06,Bunch Signal Acquisition System,BN,1.5.7.6,RI,1.05.07,1.05
663,1.05.07.07,Ring Beam-in-Gap Monitor/Cleaner,BN,1.5.7.7,RI,1.05.07,1.05
328,1.05.08,Collimation and Shielding,BN,1.5.8,RI,,1.05
329,1.05.08.01,Ring Collimator and Shielding,BN,1.5.8.1,RI,1.05.08,1.05
330,1.05.08.02,Movable Shielding,BN,1.5.8.2,RI,1.05.08,1.05
331,1.05.08.03,Monitor Instrumentation,BN,1.5.8.3,RI,1.05.08,1.05
332,1.05.09,Extraction System,BN,1.5.9,RI,,1.05
333,1.05.09.01,Ring Extraction Pulsed Dipole Magnets,BN,1.5.9.1,RI,1.05.09,1.05
334,1.05.09.02,Extraction Kicker Power Supply,BN,1.5.9.2,RI,1.05.09,1.05
335,1.05.09.03,Lambertson Septum Magnet,BN,1.5.9.3,RI,1.05.09,1.05
336,1.05.09.04,Extraction Lambertson Power Supply,BN,1.5.9.4,RI,1.05.09,1.05
337,1.05.10,RTBT System,BN,1.5.10,RI,,1.05
338,1.05.10.01,RTBT Magnet and Support,BN,1.5.10.1,RI,1.05.10,1.05
339,1.05.10.02,RTBT High Power - Power Supplies,BN,1.5.10.2,RI,1.05.10,1.05
340,1.05.10.03,RTBT Vacuum System,BN,1.5.10.3,RI,1.05.10,1.05
341,1.05.10.04,RTBT Instrumention,BN,1.5.10.4,RI,1.05.10,1.05
342,1.05.10.05,RTBT Collimator and Shielding,BN,1.5.10.5,RI,1.05.10,1.05
343,1.05.11,Cabling,BN,1.5.11,RI,,1.05
344,1.05.11.01,High Power Cable,BN,1.5.11.1,RI,1.05.11,1.05
664,1.05.11.02,Low Power Control Cable,BN,1.5.11.2,RI,1.05.11,1.05
345,1.05.11.03,Signal Cable,BN,1.5.11.3,RI,1.05.11,1.05
665,1.05.11.04,Tray,BN,1.5.11.4,RI,1.05.11,1.05
346,1.05.12,Technical Support,BN,1.5.12,RI,,1.05
347,1.05.12.01,Project Management,BN,1.5.12.1,RI,1.05.12,1.05
348,1.05.12.02,Accelerator Physics,BN,1.5.12.2,RI,1.05.12,1.05
349,1.05.12.03,Application Software Support,BN,1.5.12.3,RI,1.05.12,1.05
350,1.05.12.04,Survey & Alignment,BN,1.5.12.4,RI,1.05.12,1.05
836,1.05.12.05,Collimation Geometry Optimization,BN,1.5.12.5,RI,1.05.12,1.05
700,1.05.13,ORNL Field Coordination,OR,1.5.13,RI,,1.05
716,1.05.13.01,ORNL Field Coordination,OR,1.5.13.1,RI,1.05.13,1.05
717,1.05.13.02,Spares,OR,1.5.13.2,RI,1.05.13,1.05
352,1.06,Target Systems,OR,1.6,TG,,
353,1.06.01,Target Assemblies,OR,1.6.1,TG,,1.06
354,1.06.01.01,Target Module,OR,1.6.1.1,TG,1.06.01,1.06
355,1.06.01.02,Target Process System,OR,1.6.1.2,TG,1.06.01,1.06
356,1.06.01.03,Target Transport System,OR,1.6.1.3,TG,1.06.01,1.06
357,1.06.01.04,Assembly and Testing,OR,1.6.1.4,TG,1.06.01,1.06
358,1.06.02,Moderator Systems,OR,1.6.2,TG,,1.06
961,1.06.02.00,Moderator Systems,OR,1.6.2.0,TG,1.06.02,1.06
359,1.06.02.01,Ambient Moderator Systems,OR,1.6.2.1,TG,1.06.02,1.06
360,1.06.02.02,Cryogenic Moderator Systems,OR,1.6.2.2,TG,1.06.02,1.06
361,1.06.02.03,Assembly and Testing,OR,1.6.2.3,TG,1.06.02,1.06
362,1.06.03,Reflector Assemblies,OR,1.6.3,TG,,1.06
363,1.06.03.01,Plug Assembly,OR,1.6.3.1,TG,1.06.03,1.06
364,1.06.03.02,Assembly and Testing,OR,1.6.3.2,TG,1.06.03,1.06
365,1.06.04,Vessel Systems,OR,1.6.4,TG,,1.06
366,1.06.04.01,Core Vessel,OR,1.6.4.1,TG,1.06.04,1.06
367,1.06.04.02,Proton Beam Window Assembly,OR,1.6.4.2,TG,1.06.04,1.06
368,1.06.04.03,Upper Vessel assembly,OR,1.6.4.3,TG,1.06.04,1.06
369,1.06.04.04,Assembly and Testing,OR,1.6.4.4,TG,1.06.04,1.06
370,1.06.05,Target Station Shielding,OR,1.6.5,TG,,1.06
371,1.06.05.01,Bulk Shielding,OR,1.6.5.1,TG,1.06.05,1.06
372,1.06.05.02,External Shell and Liners,OR,1.6.5.2,TG,1.06.05,1.06
373,1.06.05.03,Shutter Systems,OR,1.6.5.3,TG,1.06.05,1.06
374,1.06.05.04,Neutron Beamline Systems,OR,1.6.5.4,TG,1.06.05,1.06
375,1.06.05.05,Roof Structure,OR,1.6.5.5,TG,1.06.05,1.06
376,1.06.05.06,Assembly and Testing,OR,1.6.5.6,TG,1.06.05,1.06
377,1.06.06,Target Utility Systems,OR,1.6.6,TG,,1.06
378,1.06.06.01,Cooling Water Systems,OR,1.6.6.1,TG,1.06.06,1.06
379,1.06.06.02,Vacuum Systems,OR,1.6.6.2,TG,1.06.06,1.06
380,1.06.06.03,Helium Gas Systems,OR,1.6.6.3,TG,1.06.06,1.06
381,1.06.06.04,Assembly and Testing,OR,1.6.6.4,TG,1.06.06,1.06
382,1.06.07,Remote Handling Systems,OR,1.6.7,TG,,1.06
383,1.06.07.01,Maintenance Cell Systems,OR,1.6.7.1,TG,1.06.07,1.06
384,1.06.07.02,High Bay Maintenance Systems,OR,1.6.7.2,TG,1.06.07,1.06
385,1.06.07.03,Beamline Maintenance Systems,OR,1.6.7.3,TG,1.06.07,1.06
386,1.06.07.04,Utility Vault Maintenance Systems,OR,1.6.7.4,TG,1.06.07,1.06
387,1.06.07.05,Beam Dump Maintenance Systems,OR,1.6.7.5,TG,1.06.07,1.06
388,1.06.07.06,Remote Handling Control Room,OR,1.6.7.6,TG,1.06.07,1.06
389,1.06.07.07,Assembly and Testing,OR,1.6.7.7,TG,1.06.07,1.06
390,1.06.08,Controls,OR,1.6.8,TG,,1.06
391,1.06.08.01,Controls Integration,OR,1.6.8.1,TG,1.06.08,1.06
392,1.06.08.02,Target Systems,OR,1.6.8.2,TG,1.06.08,1.06
