V.P. Area,System ,Status,ITEA RFS #,Short Description,Date Received,Target Date,Low Estimate,High Estimate
University Development,Advance C/S,Pending,7,Purge old unix log files,11/26/02,,1,1
University Development,Advance C/S,Pending,99,Resolve PVCS/Powerbuilder issue,,,,
University Development,Advance C/S,Pending,107,Oracle upgrade to version 9i,,,,
University Development,Advance C/S,Pending,196,Reset the PCC number in the Orbital ID generator to start again at PCC0000001.,6/17/03,,1,1
University Development,ITEA Internal Applications,Pending,103,Supplemental account refresh,,,1,1
University Development,ITEA Internal Applications,Pending,105,Error checking in Unix shell scripts,,,1,1
University Development,ODS,Pending,72,Balance UDODSDEV,1/15/03,,,
University Development,ODS,Started,236,Process ODS Refresh on Records with Multiple Maiden Name and Nickname Errors,9/16/03,,101,101
University Development,SmartCall,Started,189,Adjustment to Telefund Reminder Process,6/9/03,,1,1
University Residences,FSMIS-Food Service,Started,10659,FSMIS - CBORD - Remove FSMIS 10659,1/1/00,7/1/04,50,600
University Residences,RHAC,Not Started,14868,RHAC - User Friendly mod - add entry 14868,1/9/04,7/1/04,10,100
University Residences,RHAC,Pending,6020,RHAC - Eliminate CDE for Budget Projects 6020,4/22/97,9/30/04,1,5
University Residences,RHCA,Started,12873,RHCA - Review CICS files to  eliminated 12873,3/28/02,7/1/04,10,15
University Residences,RHCA,Started,14865,RHCA - Better tailor Activity Rpt for needs 14865,1/9/04,2/15/04,10,100
