,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State ,County,FIPS,Urban or Rural,5th,10th,25th,Median,Average,75th,90th,95th,Major,Area and Other,Onroad Mobile,Nonroad Mobile,Estimated Background
Indiana,Allen County,18003,U,1.91E+00,2.11E+00,2.58E+00,2.98E+00,2.83E+00,3.19E+00,3.40E+00,3.55E+00,7.56E-03,3.25E-01,1.89E+00,5.82E-01,2.54E-02
Indiana,Madison County,18095,U,1.80E+00,2.08E+00,2.41E+00,2.76E+00,2.70E+00,3.13E+00,3.51E+00,4.12E+00,6.47E-04,2.25E-01,1.95E+00,5.01E-01,2.49E-02
Indiana,Harrison County,18061,U,2.00E+00,2.09E+00,2.38E+00,2.73E+00,2.70E+00,3.01E+00,3.34E+00,3.47E+00,4.25E-01,6.24E-01,1.24E+00,3.83E-01,2.40E-02
Indiana,Ohio County,18115,U,1.95E+00,2.01E+00,2.18E+00,2.48E+00,2.45E+00,2.77E+00,2.94E+00,3.00E+00,5.22E-02,6.83E-01,1.23E+00,4.58E-01,2.42E-02
Indiana,Boone County,18011,U,1.21E+00,1.36E+00,1.98E+00,2.18E+00,2.37E+00,2.28E+00,3.20E+00,3.45E+00,1.69E-03,2.41E-01,1.50E+00,5.93E-01,2.47E-02
Indiana,Shelby County,18145,U,1.75E+00,1.80E+00,1.99E+00,2.27E+00,2.31E+00,2.32E+00,2.59E+00,2.76E+00,7.76E-03,2.32E-01,1.53E+00,5.15E-01,2.49E-02
Indiana,Vigo County,18167,U,1.59E+00,1.71E+00,2.15E+00,2.33E+00,2.25E+00,2.66E+00,2.75E+00,2.83E+00,2.56E-03,4.12E-01,1.50E+00,3.05E-01,2.50E-02
Indiana,Warrick County,18173,U,1.61E+00,1.68E+00,1.92E+00,2.28E+00,2.24E+00,2.44E+00,2.54E+00,2.64E+00,1.92E-03,5.39E-01,1.38E+00,2.94E-01,2.51E-02
Indiana,Brown County,18013,R,1.84E+00,1.91E+00,2.10E+00,2.21E+00,2.21E+00,2.37E+00,2.64E+00,2.73E+00,1.72E-03,7.46E-01,1.02E+00,4.15E-01,2.47E-02
Indiana,Tippecanoe County,18157,U,1.19E+00,1.40E+00,1.80E+00,2.07E+00,2.19E+00,2.55E+00,3.01E+00,3.12E+00,1.22E-03,3.98E-01,1.40E+00,3.67E-01,2.46E-02
Indiana,Howard County,18067,U,1.51E+00,1.67E+00,1.96E+00,2.32E+00,2.15E+00,2.40E+00,2.55E+00,2.73E+00,3.49E-03,1.86E-01,1.55E+00,3.82E-01,2.53E-02
Indiana,Delaware County,18035,U,1.52E+00,1.67E+00,1.95E+00,2.25E+00,2.14E+00,2.47E+00,2.67E+00,2.72E+00,3.15E-04,1.96E-01,1.38E+00,5.37E-01,2.50E-02
National,All Rural Counties,99998,R,1.14E-01,3.43E-01,9.36E-01,1.58E+00,1.98E+00,2.35E+00,3.38E+00,4.24E+00,3.08E-02,1.06E+00,6.13E-01,2.50E-01,2.52E-02
Indiana,Perry County,18123,R,1.32E+00,1.34E+00,1.38E+00,2.11E+00,1.90E+00,2.28E+00,2.35E+00,2.38E+00,2.27E-03,1.08E+00,6.48E-01,1.50E-01,2.54E-02
Indiana,La Porte County,18091,U,1.47E+00,1.60E+00,1.65E+00,1.94E+00,1.88E+00,2.05E+00,2.11E+00,2.35E+00,1.51E-02,2.81E-01,1.16E+00,3.97E-01,2.51E-02
Indiana,Lawrence County,18093,R,1.30E+00,1.31E+00,1.44E+00,1.77E+00,1.79E+00,2.30E+00,2.50E+00,2.61E+00,4.47E-04,7.15E-01,7.82E-01,2.71E-01,2.51E-02
Indiana,Kosciusko County,18085,R,1.30E+00,1.37E+00,1.58E+00,1.65E+00,1.71E+00,1.75E+00,1.98E+00,2.04E+00,1.59E-02,1.90E-01,9.31E-01,5.51E-01,2.53E-02
Indiana,Bartholomew County,18005,R,1.29E+00,1.33E+00,1.52E+00,1.68E+00,1.70E+00,1.98E+00,2.12E+00,2.18E+00,4.07E-03,3.60E-01,9.68E-01,3.39E-01,2.52E-02
Indiana,Lagrange County,18087,R,1.42E+00,1.46E+00,1.56E+00,1.64E+00,1.67E+00,1.75E+00,1.83E+00,1.90E+00,7.15E-03,2.25E-01,8.37E-01,5.81E-01,2.52E-02
Indiana,Scott County,18143,U,1.38E+00,1.43E+00,1.59E+00,1.73E+00,1.67E+00,1.76E+00,1.83E+00,1.85E+00,2.85E-02,5.86E-01,8.25E-01,2.06E-01,2.48E-02
Indiana,Jefferson County,18077,U,1.23E+00,1.27E+00,1.33E+00,1.72E+00,1.66E+00,1.82E+00,2.07E+00,2.18E+00,1.71E-02,7.57E-01,6.91E-01,1.67E-01,2.52E-02
Indiana,Henry County,18065,R,1.15E+00,1.22E+00,1.41E+00,1.74E+00,1.65E+00,1.88E+00,2.06E+00,2.23E+00,5.41E-04,2.07E-01,1.11E+00,3.06E-01,2.50E-02
Indiana,Huntington County,18069,U,9.90E-01,1.02E+00,1.11E+00,1.70E+00,1.63E+00,2.00E+00,2.14E+00,2.29E+00,6.36E-03,4.01E-01,9.07E-01,2.93E-01,2.52E-02
Indiana,Marshall County,18099,R,1.04E+00,1.11E+00,1.36E+00,1.47E+00,1.61E+00,2.00E+00,2.08E+00,2.09E+00,2.49E-03,2.07E-01,9.98E-01,3.75E-01,2.52E-02
Indiana,Grant County,18053,U,1.19E+00,1.25E+00,1.39E+00,1.60E+00,1.60E+00,1.74E+00,2.02E+00,2.17E+00,1.97E-03,2.25E-01,1.06E+00,2.87E-01,2.52E-02
Indiana,Franklin County,18047,R,1.22E+00,1.24E+00,1.28E+00,1.35E+00,1.59E+00,2.06E+00,2.07E+00,2.07E+00,7.31E-02,4.53E-01,7.85E-01,2.58E-01,2.46E-02
Indiana,Noble County,18113,R,1.38E+00,1.40E+00,1.45E+00,1.46E+00,1.58E+00,1.54E+00,1.90E+00,2.14E+00,2.00E-02,2.80E-01,8.97E-01,3.61E-01,2.52E-02
Indiana,Orange County,18117,R,1.19E+00,1.19E+00,1.21E+00,1.27E+00,1.55E+00,1.56E+00,2.13E+00,2.37E+00,7.68E-03,8.13E-01,5.62E-01,1.40E-01,2.50E-02
Indiana,Jennings County,18079,R,1.09E+00,1.09E+00,1.11E+00,1.19E+00,1.54E+00,1.43E+00,2.97E+00,3.49E+00,9.99E-03,6.85E-01,6.38E-01,1.77E-01,2.50E-02
Indiana,State Rural Counties,18000,R,6.44E-01,7.73E-01,1.00E+00,1.34E+00,1.53E+00,1.74E+00,2.40E+00,2.90E+00,1.13E-02,3.42E-01,8.62E-01,2.91E-01,2.50E-02
Indiana,Washington County,18175,R,1.17E+00,1.18E+00,1.26E+00,1.45E+00,1.52E+00,1.62E+00,1.95E+00,2.09E+00,7.86E-02,5.98E-01,6.48E-01,1.68E-01,2.43E-02
Indiana,Jackson County,18071,R,1.14E+00,1.15E+00,1.23E+00,1.65E+00,1.51E+00,1.76E+00,1.84E+00,1.95E+00,2.81E-03,5.53E-01,6.94E-01,2.35E-01,2.51E-02
Indiana,Greene County,18055,R,9.16E-01,9.83E-01,1.06E+00,1.31E+00,1.50E+00,2.21E+00,2.48E+00,2.51E+00,1.33E-03,6.49E-01,6.12E-01,2.11E-01,2.51E-02
Indiana,De Kalb County,18033,U,1.10E+00,1.12E+00,1.29E+00,1.51E+00,1.48E+00,1.65E+00,1.71E+00,1.76E+00,5.81E-03,2.42E-01,9.32E-01,2.73E-01,2.53E-02
Indiana,Dubois County,18037,R,1.11E+00,1.14E+00,1.17E+00,1.54E+00,1.48E+00,1.77E+00,1.83E+00,1.84E+00,1.32E-02,5.73E-01,6.78E-01,1.90E-01,2.53E-02
Indiana,Crawford County,18025,R,1.27E+00,1.31E+00,1.41E+00,1.57E+00,1.47E+00,1.61E+00,1.63E+00,1.64E+00,1.09E-01,6.76E-01,5.25E-01,1.34E-01,2.41E-02
Indiana,Posey County,18129,U,1.18E+00,1.24E+00,1.40E+00,1.47E+00,1.47E+00,1.59E+00,1.64E+00,1.66E+00,6.33E-03,3.15E-01,8.87E-01,2.34E-01,2.49E-02
Indiana,Owen County,18119,R,1.31E+00,1.31E+00,1.33E+00,1.42E+00,1.46E+00,1.46E+00,1.60E+00,1.65E+00,7.07E-04,5.26E-01,7.02E-01,2.06E-01,2.36E-02
Indiana,Whitley County,18183,U,1.27E+00,1.31E+00,1.39E+00,1.50E+00,1.44E+00,1.52E+00,1.55E+00,1.57E+00,6.56E-03,2.10E-01,8.81E-01,3.19E-01,2.50E-02
Indiana,Clay County,18021,R,1.04E+00,1.05E+00,1.07E+00,1.21E+00,1.44E+00,1.53E+00,1.87E+00,1.99E+00,1.28E-03,4.84E-01,7.56E-01,1.71E-01,2.51E-02
Indiana,Fayette County,18041,U,9.68E-01,9.90E-01,1.08E+00,1.49E+00,1.42E+00,1.73E+00,1.74E+00,1.74E+00,7.47E-04,4.15E-01,7.85E-01,1.95E-01,2.51E-02
Indiana,Ripley County,18137,R,1.11E+00,1.14E+00,1.28E+00,1.50E+00,1.41E+00,1.53E+00,1.58E+00,1.61E+00,1.24E-01,4.40E-01,6.26E-01,1.96E-01,2.42E-02
Indiana,Spencer County,18147,R,1.32E+00,1.33E+00,1.36E+00,1.39E+00,1.38E+00,1.41E+00,1.48E+00,1.51E+00,2.16E-03,4.71E-01,7.36E-01,1.48E-01,2.51E-02
Indiana,Blackford County,18009,U,1.03E+00,1.04E+00,1.07E+00,1.40E+00,1.37E+00,1.72E+00,1.73E+00,1.73E+00,2.76E-03,2.92E-01,8.21E-01,2.30E-01,2.51E-02
Indiana,Switzerland County,18155,R,1.18E+00,1.18E+00,1.18E+00,1.18E+00,1.34E+00,1.40E+00,1.52E+00,1.57E+00,3.10E-02,5.27E-01,5.79E-01,1.80E-01,2.42E-02
Indiana,Clinton County,18023,R,9.68E-01,9.96E-01,1.07E+00,1.37E+00,1.33E+00,1.56E+00,1.74E+00,1.85E+00,2.49E-03,1.37E-01,8.97E-01,2.71E-01,2.49E-02
Indiana,Miami County,18103,R,8.66E-01,9.35E-01,9.84E-01,1.05E+00,1.33E+00,1.63E+00,2.08E+00,2.41E+00,4.76E-03,3.78E-01,7.28E-01,1.96E-01,2.50E-02
Indiana,Wayne County,18177,U,9.01E-01,9.35E-01,9.65E-01,1.30E+00,1.32E+00,1.57E+00,1.88E+00,2.07E+00,2.50E-03,2.96E-01,8.10E-01,1.91E-01,2.53E-02
Indiana,Wabash County,18169,U,9.34E-01,9.42E-01,9.74E-01,1.18E+00,1.31E+00,1.65E+00,1.80E+00,1.81E+00,7.82E-02,2.71E-01,7.00E-01,2.32E-01,2.54E-02
Indiana,Putnam County,18133,R,1.01E+00,1.03E+00,1.11E+00,1.20E+00,1.29E+00,1.40E+00,1.49E+00,1.50E+00,7.18E-04,3.81E-01,6.77E-01,2.08E-01,2.41E-02
Indiana,Cass County,18017,R,8.34E-01,8.97E-01,9.65E-01,1.06E+00,1.27E+00,1.60E+00,1.73E+00,1.78E+00,2.00E-03,2.56E-01,7.78E-01,2.10E-01,2.53E-02
Indiana,Gibson County,18051,R,9.78E-01,9.91E-01,1.03E+00,1.15E+00,1.27E+00,1.30E+00,1.48E+00,1.54E+00,1.91E-03,2.81E-01,7.64E-01,1.94E-01,2.50E-02
Indiana,Steuben County,18151,R,9.38E-01,9.42E-01,9.98E-01,1.19E+00,1.26E+00,1.45E+00,1.53E+00,1.66E+00,8.43E-02,2.48E-01,6.68E-01,2.38E-01,2.53E-02
Indiana,Tipton County,18159,R,1.09E+00,1.10E+00,1.12E+00,1.18E+00,1.19E+00,1.24E+00,1.25E+00,1.26E+00,1.02E-03,9.37E-02,8.49E-01,2.20E-01,2.47E-02
Indiana,Martin County,18101,R,1.01E+00,1.02E+00,1.05E+00,1.08E+00,1.18E+00,1.18E+00,1.34E+00,1.40E+00,2.04E-03,6.31E-01,4.20E-01,1.09E-01,2.55E-02
Indiana,Vermillion County,18165,R,7.47E-01,7.91E-01,9.23E-01,1.12E+00,1.17E+00,1.28E+00,1.48E+00,1.55E+00,2.36E-03,3.20E-01,6.83E-01,1.35E-01,2.52E-02
Indiana,Decatur County,18031,R,9.76E-01,9.79E-01,9.96E-01,1.04E+00,1.16E+00,1.17E+00,1.51E+00,1.66E+00,2.64E-02,2.73E-01,6.40E-01,1.99E-01,2.47E-02
Indiana,Montgomery County,18107,R,7.63E-01,8.00E-01,8.67E-01,9.10E-01,1.15E+00,1.56E+00,1.59E+00,1.60E+00,9.06E-04,2.75E-01,6.62E-01,1.91E-01,2.49E-02
Indiana,Rush County,18139,R,7.50E-01,7.82E-01,8.79E-01,1.31E+00,1.13E+00,1.41E+00,1.42E+00,1.42E+00,1.39E-03,1.74E-01,7.21E-01,2.09E-01,2.42E-02
Indiana,Wells County,18179,U,9.02E-01,9.74E-01,1.08E+00,1.10E+00,1.11E+00,1.18E+00,1.25E+00,1.29E+00,1.44E-03,1.62E-01,7.08E-01,2.13E-01,2.51E-02
Indiana,Adams County,18001,U,6.98E-01,7.01E-01,7.93E-01,1.07E+00,1.10E+00,1.33E+00,1.55E+00,1.57E+00,1.13E-03,1.79E-01,6.86E-01,2.11E-01,2.51E-02
Indiana,Daviess County,18027,R,8.10E-01,8.23E-01,8.46E-01,9.48E-01,1.07E+00,1.23E+00,1.45E+00,1.59E+00,1.81E-03,3.23E-01,5.61E-01,1.62E-01,2.52E-02
Indiana,Sullivan County,18153,R,7.65E-01,7.75E-01,8.06E-01,9.78E-01,1.06E+00,1.16E+00,1.20E+00,1.22E+00,3.17E-03,2.99E-01,6.08E-01,1.26E-01,2.51E-02
Indiana,Parke County,18121,R,8.30E-01,8.57E-01,9.35E-01,1.00E+00,1.06E+00,1.11E+00,1.28E+00,1.33E+00,2.20E-03,3.80E-01,5.38E-01,1.11E-01,2.50E-02
Indiana,Starke County,18149,R,8.76E-01,8.81E-01,8.96E-01,9.25E-01,1.05E+00,1.18E+00,1.33E+00,1.35E+00,2.67E-03,1.65E-01,6.66E-01,1.89E-01,2.49E-02
Indiana,Pike County,18125,R,8.74E-01,8.87E-01,9.28E-01,1.05E+00,1.04E+00,1.16E+00,1.16E+00,1.17E+00,2.33E-03,3.82E-01,5.08E-01,1.18E-01,2.51E-02
Indiana,Carroll County,18015,R,8.64E-01,8.64E-01,9.31E-01,1.00E+00,1.02E+00,1.05E+00,1.14E+00,1.21E+00,6.11E-04,1.61E-01,6.70E-01,1.62E-01,2.50E-02
Indiana,Union County,18161,R,8.92E-01,9.09E-01,9.59E-01,1.04E+00,1.01E+00,1.13E+00,1.18E+00,1.19E+00,1.45E-03,2.27E-01,5.83E-01,1.74E-01,2.44E-02
Indiana,Knox County,18083,U,7.10E-01,7.12E-01,7.28E-01,1.06E+00,1.00E+00,1.23E+00,1.41E+00,1.43E+00,6.56E-03,3.00E-01,5.13E-01,1.58E-01,2.54E-02
Indiana,Fulton County,18049,R,6.22E-01,6.26E-01,6.66E-01,7.65E-01,8.58E-01,7.76E-01,9.84E-01,1.09E+00,1.14E-03,1.57E-01,4.95E-01,1.81E-01,2.53E-02
Indiana,Randolph County,18135,R,6.46E-01,6.50E-01,7.67E-01,8.15E-01,8.43E-01,9.46E-01,1.01E+00,1.01E+00,3.06E-04,1.04E-01,5.51E-01,1.62E-01,2.51E-02
Indiana,Jay County,18075,R,5.96E-01,6.06E-01,6.79E-01,8.85E-01,8.26E-01,9.54E-01,9.86E-01,1.01E+00,5.11E-04,1.38E-01,5.05E-01,1.58E-01,2.52E-02
Indiana,Fountain County,18045,R,6.79E-01,6.87E-01,7.13E-01,7.14E-01,8.22E-01,8.12E-01,1.17E+00,1.28E+00,1.12E-03,2.35E-01,4.42E-01,1.18E-01,2.52E-02
Indiana,Newton County,18111,R,4.00E-01,4.10E-01,4.42E-01,5.28E-01,8.03E-01,7.80E-01,1.11E+00,1.22E+00,7.62E-04,7.72E-02,5.14E-01,1.89E-01,2.42E-02
Indiana,Jasper County,18073,R,5.18E-01,5.58E-01,6.39E-01,7.06E-01,7.83E-01,8.41E-01,9.78E-01,1.03E+00,1.65E-03,8.06E-02,5.23E-01,1.55E-01,2.43E-02
Indiana,White County,18181,R,5.38E-01,5.59E-01,6.29E-01,7.38E-01,7.81E-01,7.86E-01,8.91E-01,9.96E-01,2.93E-04,1.21E-01,4.88E-01,1.47E-01,2.50E-02
Indiana,Pulaski County,18131,R,5.46E-01,5.58E-01,5.96E-01,6.68E-01,6.79E-01,7.47E-01,7.99E-01,8.17E-01,4.16E-04,1.49E-01,4.10E-01,9.43E-02,2.53E-02
Indiana,Warren County,18171,R,6.06E-01,6.09E-01,6.16E-01,6.27E-01,6.28E-01,6.39E-01,6.45E-01,6.48E-01,5.15E-04,1.21E-01,3.87E-01,9.50E-02,2.46E-02
Indiana,Benton County,18007,R,3.79E-01,3.90E-01,4.21E-01,4.73E-01,4.79E-01,5.22E-01,5.51E-01,5.61E-01,1.86E-04,4.70E-02,3.28E-01,7.91E-02,2.47E-02
