Division,Panel Name,lastname,firstname,department,College  ,Rank,Award Amt,Award Title
Arts & Humanities,Comparative Literature,Xu,Ping,MODERN LANGUAGE,BARUCH COLLEGE,ASSTP,"$4,000.00","Thinking/Writing/Thinging: A Comparative Study of Heidegger, Fenollosa, Pound and Taoist Tradition"
Arts & Humanities,Creative Writing,Allen,Jeffrey,UNDEFINED,QUEENS COLLEGE,PROF,"$3,720.00",Dog Tags:Stories
Arts & Humanities,Creative Writing,Cooley,Nicole,ENGLISH,QUEENS COLLEGE,ASSTP,"$4,816.00",The Secret Museum: A Novel
Arts & Humanities,Creative Writing,Draitser,Emil,CLASSICS,HUNTER COLLEGE,PROF,"$1,220.00",In a Quiet Voice: Growing up in Odessa (a memoir)
Arts & Humanities,Creative Writing,Goldsmith,Ellen,ENGLISH,NYC TECHNICAL COLLEGE,PROF,"$3,840.00",Points of Reference: Manuscript Preparation
Arts & Humanities,Creative Writing,Hacker,Marilyn,ENGLISH,CITY COLLEGE,PROF,"$5,000.00",Creative Writing Poetry and Translation
Arts & Humanities,Creative Writing,Harte,Joyce,ENGLISH,BOROUGH OF MANHATTAN C. C.,ASSCP,"$3,780.00",And Dances with the Daffodils: The English Education of an African-Caribbean Teacher
Arts & Humanities,Creative Writing,Kane,Daniel,ENGLISH,KINGSBOROUGH C. C.,ASSTP,"$4,816.00",Alda Others
Arts & Humanities,Creative Writing,Martin,Charles,BASIC EDUCATIONAL SKILLS,QUEENSBOROUGH C. C.,PROF,"$3,840.00","A Verse Translation of Ovid's ""Metamorphoses"""
Arts & Humanities,Creative Writing,Wunsch,Karen,ENGLISH,QUEENSBOROUGH C. C.,ASSCP,"$3,840.00",Cabaret Stories
Arts & Humanities,English,Acosta,Ana,ENGLISH,BROOKLYN COLLEGE,ASSTP,"$4,720.00",West of Eden: The Afterlife of Genesis in the 18th Century.
Arts & Humanities,English,Bardsley,Alyson,ENGLISH,COLLEGE OF STATEN ISLAND,ASSTP,"$3,840.00",Senses of belonging in Scottish Romantic Writing
Arts & Humanities,English,Blaisdell,Robert,ENGLISH,KINGSBOROUGH C. C.,ASSTP,"$4,640.00","Henry David Thoreau, The Writing Coach."
Arts & Humanities,English,Fisher,William,ENGLISH,LEHMAN COLLEGE,ASSTP,"$4,600.00","""His Majesty the Beard"": False Beards & Masculinity on the Early Modern Stage."
Arts & Humanities,English,Fridman,Lea,ENGLISH,KINGSBOROUGH C. C.,ASSCP,"$3,100.00","""In the Blood Space of Mutuality: J Hillis Miller's 'Heart of Darkness' Revisited """
Arts & Humanities,English,Hall,N. John,ENGLISH,BRONX C. C.,DISTP,"$3,606.00",Max Beerbohm: A Life of Sports.
Arts & Humanities,English,Hintz,Carrie,ENGLISH,QUEENS COLLEGE,ASSTP,"$4,600.00",Desire and Renunciation: The Letters of Dorothy Osborne.
Arts & Humanities,English,Israel,Nico de Funes,FACULTY / STAFF SERVICE CENTER,HUNTER COLLEGE,ASSTP,"$4,644.00",Writing Captivity
Arts & Humanities,English,Kazanjian,David,ENGLISH,QUEENS COLLEGE,ASSTP,"$4,741.00",Dime Novels and the U.S. -Mexico War
Arts & Humanities,English,Kruger,Steven,ENGLISH,QUEENS COLLEGE,PROF,"$4,275.00",The Spectral Jew: (Dis) embodiment & the Dynamics of Medieval Jewish/Christian Interaction.
Arts & Humanities,English,Natov,Roni,ENGLISH,BROOKLYN COLLEGE,PROF,"$3,700.00",The Poetics of Childhood
Arts & Humanities,English,O'Malley,Susan,ENGLISH,KINGSBOROUGH C. C.,PROF,"$3,840.00",Custom is an Idiot: Jacobean Pamphlet Literature on Women
Arts & Humanities,English,Reynolds,David,ENGLISH,BARUCH COLLEGE,DISTP,"$3,700.00","Freedom's Angry Herald John Brown, the Civil War and American Cultural History."
Arts & Humanities,English,Richardson,Joan,ENGLISH,LAGUARDIA C. C.,PROF,"$3,700.00",The Fact of Feeling: American Aesthetics.
Arts & Humanities,English,Sargent,Michael,ENGLISH,QUEENS COLLEGE,PROF,"$3,395.00",Collation of MSS Tk2 and Ar2 of Nicholas Love's Mirror.
Arts & Humanities,English,Schaffer,Talia,ENGLISH,QUEENS COLLEGE,ASSTP,"$4,804.00",The Victorian Domestic Handicraft and the Rise of Domestic Fiction.
Arts & Humanities,English,Sedore,Timothy,ENGLISH,BRONX C. C.,ASSTP,"$4,650.00","""Tell the Southrons We Lie Here"" : The Rhetoric of Consummation in Post-Civil War Epitaphs & Elegies of Eastern Viriginia"
Arts & Humanities,English,Simmons,Diane,ENGLISH,BOROUGH OF MANHATTAN C. C.,ASSTP,"$3,720.00",Black Sheep: The Narcissistic Imperialist.
Arts & Humanities,English,Stanley,Linda,ENGLISH,QUEENSBOROUGH C. C.,PROF,"$3,740.00",The Foreign Critical Reputation of F. Scott Fitzgerald: An analysis and annotated Bibliography 1980-2000.
Arts & Humanities,English,Taylor,Anya,ENGLISH,JOHN JAY,PROF,"$3,840.00",Christabel and Coleridge's Immersion in Female Psychology.
Arts & Humanities,English,Westrem,Scott,ENGLISH,LEHMAN COLLEGE,ASSCP,"$5,000.00","The Hereford Mappmundi: A Transcription, Translation and Analysis of its Legends."
Arts & Humanities,English,Whatley,E.Gordon,ENGLISH,QUEENS COLLEGE,PROF,"$1,000.00",Manuscript Preparation of Saints Legends from Middle English Collections.
Arts & Humanities,English,Wittreich,Joseph,ENGLISH,GRADUATE SCHOOL,DISTP,"$3,600.00",Samson Agonistes: A Book
Arts & Humanities,English,Yousef,Nancy,ENGLISH,BARUCH COLLEGE,ASSTP,"$4,220.00","""Without all kinds of engagement"": Hobbes, Locke and the Anxieties of Autonomy."
Arts & Humanities,French,Caws,Mary Ann,FRENCH,GRADUATE SCHOOL,DISTP,"$2,700.00",Bilingual Anthology of Twentieth Century French Poetry
Arts & Humanities,French,Consenstein,Peter,MODERN LANGUAGE,BOROUGH OF MANHATTAN C. C.,ASSCP,"$3,302.00","The Translation of IL by Dominique Fourcade and Completion of the Manuscript Literary Memory, Consciousness and the Group Oulipo"
Arts & Humanities,French,Hitchcock,Peter,ENGLISH,BARUCH COLLEGE,PROF,"$3,100.00",The Nation as Quartet: The Algerian Tetralogy of Assia Djebar
Arts & Humanities,French,Sautman,Francesca,ROMANCE LANGUAGES,HUNTER COLLEGE,PROF,"$3,000.00",Striking Out on their own: Same sex love and French Working Class Women 1880-1930
Arts & Humanities,French,Serrano,Lucienne,FOREIGN LANGUAGES,YORK COLLEGE,PROF,"$3,235.00",Writing and Transitional Space: A Path to Unknown Memory
Arts & Humanities,French,Spear,Thomas,LANGUAGES,LEHMAN COLLEGE,ASSCP,"$7,000.00",ile en ile a website documenting the cultures of the world's francophone islands
Arts & Humanities,French,Willinger,David,ENGLISH,CITY COLLEGE,PROF,"$2,700.00","Hugo's ""Lucrece Borgia"" and Romantic Drama Revisited in English"
Arts & Humanities,German,Ellis,Lorena,FOREIGN LANGUAGES,QUEENSBOROUGH C. C.,ASSCP,"$4,240.00",Faculty Awareness and Proficiency in Foreign Languages: Does students' competency match faculty awareness? or vice versa?
Arts & Humanities,German,Evans,Tamara,EUROPEAN LANGUAGES,QUEENS COLLEGE,PROF,"$3,500.00",Fritz Strich and The Mission of Jewish writers in German Literature
Arts & Humanities,German,Nicolai,Elke,GERMAN,HUNTER COLLEGE,ASSTP,"$4,500.00",Complete bibliography on the writings of and on Leonhard Frank
Arts & Humanities,German,Reusch,Johann,FINE ARTS,BARUCH COLLEGE,ASSTP,"$4,600.00",Gotthardt Ludwig Theobul Kosegarten (1758- 1818) and the Invention  of the German Romantic Tradition
Arts & Humanities,German,Spreizer,Christine,EUROPEAN LANGUAGES,QUEENS COLLEGE,ASSTP,"$4,544.00",Berlin Cultural and Academic Circles
Arts & Humanities,History,Ackerman,Evelyn,HISTORY,LEHMAN COLLEGE,PROF,"$3,450.00","Waldemar Haffkine: Science, Imperialism and Jewish Advocacy"
Arts & Humanities,History,Alborn,Timothy,HISTORY,LEHMAN COLLEGE,ASSTP,"$7,859.00","Regulated Lives: Life Assurance and British Society, 1840-1920."
Arts & Humanities,History,Atangana,Martin,HISTORY-PHILOSOPHY,YORK COLLEGE,ASSTP,"$6,617.00",Translation of Capitalisme et nationalisme au Cameroun au lendemain de la seconde guerre mondiale
Arts & Humanities,History,Baron,Beth,HISTORY,CITY COLLEGE,PROF,"$3,500.00","Sex, Society and the State in the Middle East"
Arts & Humanities,History,Brooks,Barbara,HISTORY,CITY COLLEGE,ASSCP,"$3,500.00","Human rights, extraterritoriality and Colonialism in East Asia 1895-1945"
Arts & Humanities,History,Burke,Martin,HISTORY,LEHMAN COLLEGE,ASSTP,"$3,840.00","Signs of the Cross: Protestants, Catholics and the Constructions of Religious Identities in America"
Arts & Humanities,History,Crahan,Margaret,HISTORY,HUNTER COLLEGE,PROF,"$4,500.00","Creating Freedom Behind Bars: The Culture of Resistance vs. The Culture of Fear, Argentina, 1976-83."
Arts & Humanities,History,Dauben,Joseph,HISTORY,LEHMAN COLLEGE,PROF,"$4,500.00","Critical English Edition of Selections from the ""Ten Classics of Ancient Chinese Mathematics"""
Arts & Humanities,History,Frangakis-Syrett,Elena,HISTORY,QUEENS COLLEGE,PROF,"$3,500.00","Western Economic Penetration and Local capital in the Near East: Izmir, c. 1800-1922"
Arts & Humanities,History,Freeman,Joshua,HISTORY,QUEENS COLLEGE,PROF,"$2,183.00",Brice P. Disque & the Military Influence on the U.S. Industrial Relations
Arts & Humanities,History,Gasman,Daniel,HISTORY,JOHN JAY,PROF,"$3,500.00",Haeckel's Monism and the transformation of Marxism
Arts & Humanities,History,Gibson,Mary,HISTORY,JOHN JAY,PROF,"$3,500.00",Between Church and state: female Institutions of Incarceration in Rome 1860-1915
Arts & Humanities,History,Gruder,Vivian,HISTORY,QUEENS COLLEGE,PROF,"$3,500.00",The Notables and the Nation: The Political Schooling of the French 1787-1788
Arts & Humanities,History,Hansen,Bert,HISTORY,BARUCH COLLEGE,ASSCP,"$3,500.00",Creating Heroes for Medical Science: The Role of the Mass Media
Arts & Humanities,History,Head,Thomas,HISTORY,HUNTER COLLEGE,PROF,"$3,500.00","Sanctity and Society : Saints, Relics, and Patronage in Western Christendom, 200-1215."
Arts & Humanities,History,Heinrich,Thomas,HISTORY,BARUCH COLLEGE,ASSTP,"$4,800.00",Military Contracting in the Silicon Valley Semiconductor Industry
Arts & Humanities,History,Jaffee,David,HISTORY,CITY COLLEGE,ASSCP,"$3,500.00",Manufacturing a middle class society in the rural northern U.S. 1760-1860
Arts & Humanities,History,Johnson,Robert,HISTORY,BROOKLYN COLLEGE,ASSCP,"$3,840.00",The Lynson Baines Johnson Presidential Tapes
Arts & Humanities,History,Kalia,Ravi,HISTORY,CITY COLLEGE,ASSCP,"$3,500.00",19th Century European Architecture in India
Arts & Humanities,History,Lewis,James,HISTORY,CITY COLLEGE,LECTR,"$5,400.00",Felix Ebolle and Late French Colonial Ideology
Arts & Humanities,History,Mellone,James Tasato,LIBRARY,QUEENS COLLEGE,ASSTP,"$4,500.00","Fascist Italy: A Bibliography of Works in English, 1919-2000."
Arts & Humanities,History,Nadasen,Premilla,HISTORY,QUEENS COLLEGE,ASSTP,"$4,885.00",The Welfare Rights Movement in the U. S. 1960-1975.
Arts & Humanities,History,Oppenheimer,Gerald,HEALTH SCIENCE,BROOKLYN COLLEGE,PROF,"$3,500.00",The Development of Heart Disease Epidemiology in the U.S.: 1920-1970
Arts & Humanities,History,Pine,Martin,HISTORY,QUEENS COLLEGE,PROF,"$5,393.00",The Problem of universals in Pietro Pomponazzi according to the manuscript tradition.
Arts & Humanities,History,Polak,Emil,HISTORY,QUEENSBOROUGH C. C.,PROF,"$3,500.00",A Manuscript Census of Medieval & Renaissance works on Letter-Writing and Secular Oratory Found in Austria.
Arts & Humanities,History,Pritchett,Wendell,HISTORY,BARUCH COLLEGE,ASSTP,"$1,500.00","Before the Storm: Urban America, 1945-1964."
Arts & Humanities,History,Quiroz,Alfonso,HISTORY,BARUCH COLLEGE,PROF,"$3,500.00",Cuban Quest: Civil Society Under Oppression (1860-1960)
Arts & Humanities,History,Reitano,Joanne,SOCIAL SCIENCE,LAGUARDIA C. C.,PROF,"$3,840.00",The Contested City
Arts & Humanities,History,Robertson,Andrew,HISTORY,LEHMAN COLLEGE,ASSTP,"$3,079.00",Interpreting the Political Culture of the second American Republic 1788-1824
Arts & Humanities,History,Rossabi,Morris,HISTORY,QUEENS COLLEGE,PROF,"$2,320.00",Mongol Influence on Ilkhanid Persia
Arts & Humanities,History,Ryan,James,HISTORY,BRONX C. C.,PROF,"$3,500.00",Further Investigation into 13th Century Interrelationships of Mission and Crusade
Arts & Humanities,History,Syrett,David,HISTORY,QUEENS COLLEGE,DISTP,"$3,500.00",Communications Intelligence and the Batle of the Atlantic
Arts & Humanities,History,Tai,Emily,HISTORY,QUEENSBOROUGH C. C.,ASSTP,"$5,930.00","Honor Among Thieves: Merchants and Pirates in Mediterranean Europe, 1200-1500."
Arts & Humanities,History,Wills,Jocelyn,HISTORY,BROOKLYN COLLEGE,ASSTP,"$1,400.00","American Dream and Failure: Work, Consumption and Changing Definitions of Success in the U.S., 1870-1930"
Arts & Humanities,Italian,Carravetta,Peter,EUROPEAN LANGUAGES,QUEENS COLLEGE,PROF,"$3,500.00",Before Migration: Discovery and Representation of the South in Italy After Unification
Arts & Humanities,Italian,Coleman,William,ENGLISH,JOHN JAY,PROF,"$3,500.00","Giovanni Boccaccio's ""Il Teseida"": A Facsimile and Transcription of the Autograph Manuscript"
Arts & Humanities,Italian,Di Paolo,Maria,LANGUAGES,LEHMAN COLLEGE,PROF,"$3,585.00",Images of Women in Contemporary Italian Fiction
Arts & Humanities,Italian,Fasoli,Paolo,ROMANCE LANGUAGES,HUNTER COLLEGE,ASSTP,"$4,500.00",A Critical Edition of Gabriello Chiabrera's Selected Verse and Prose Works
Arts & Humanities,Italian,Lombardi,Giancarlo,MODERN LANGUAGE,COLLEGE OF STATEN ISLAND,ASSTP,"$4,442.00","The Fictions of Terrorism: The Italian  Armed Struggle in Film, Literature and Memoirs"
Arts & Humanities,Italian,Paulicelli,Eugenia,EUROPEAN LANGUAGES,QUEENS COLLEGE,ASSCP,"$3,500.00",Fashion & Fascism: The Creation of National  Identities
Arts & Humanities,Italian,Zangrilli,Franco,MODERN LANGUAGE,BARUCH COLLEGE,PROF,"$3,798.00",Le Maschere del Vecchio Dio: la Religione Nell'Opera di Pirandello
Arts & Humanities,Library,Anderson,Valerie,ENGLISH,YORK COLLEGE,ASSTP,"$3,190.00","A View of English Education from 1862-1901 at a Freedman's School: The Laura M.Towne Library of Penn School, South Carolina"
Arts & Humanities,Music & Musicology,Cipullo,Thomas,ART AND MUSIC,BRONX C. C.,ASSTP,"$4,694.00",Emily Dickinson Songs
Arts & Humanities,Music & Musicology,Cory,Eleanor,COMMUNICATIONS,KINGSBOROUGH C. C.,ASSCP,"$4,950.00","Recording Bouquet for flute, clarinet, french horn, trumpet, percussion, piano,violin, and cello"
Arts & Humanities,Music & Musicology,Manuel,Peter,ART AND MUSIC,JOHN JAY,ASSCP,"$3,398.00",An Indo-Caribbean Songbook
Arts & Humanities,Music & Musicology,Mittler-Battipaglia,Diana,MUSIC,LEHMAN COLLEGE,PROF,"$3,135.00",The Musical Works of Franz Mittler: Phase II
Arts & Humanities,Music & Musicology,Rupprecht,Philip,MUSIC,BROOKLYN COLLEGE,ASSTP,"$1,500.00",Britten's Musical Language
Arts & Humanities,Music & Musicology,Smaldone,Edward,MUSIC,QUEENS COLLEGE,ASSCP,"$4,900.00",Two New Composition Projects for 2001
Arts & Humanities,Music & Musicology,Spicer,Mark,MUSIC,HUNTER COLLEGE,INSTR,"$4,024.00",(Ac) cumulative from in recent popular music
Arts & Humanities,Music & Musicology,Yarmolinsky,Benjamin,ART AND MUSIC,BRONX C. C.,ASSTP,"$4,694.00",Music Appreciation: The Musical
Arts & Humanities,Performing Arts Production,Danto,Annette,FILM STUDIES,BROOKLYN COLLEGE,ASSTP,"$3,800.00",International Women in Production
Arts & Humanities,Performing Arts Production,Glickman,Nora,HISPANIC LANGUAGES & LITERATUR,QUEENS COLLEGE,PROF,"$3,944.00",Adaptation of a 20th Century Mexican Novel to the Theatre: Periquillo Sabniento by Lizardi
Arts & Humanities,Performing Arts Production,Millner,Sherry,CREATIVE/PERFORMING ARTS,COLLEGE OF STATEN ISLAND,PROF,"$3,944.00",Hidden Waystation
Arts & Humanities,Performing Arts Production,Orenstein,Claudia,THEATER,HUNTER COLLEGE,ASSTP,"$5,500.00",Bruegel Triptych
Arts & Humanities,Performing Arts Production,Raad,Walid,MEDIA STUDIES,QUEENS COLLEGE,ASSTP,"$1,454.00",Hostage
Arts & Humanities,Performing Arts Production,Sosa,Diana Irene,TELEVISION,BROOKLYN COLLEGE,ASSTP,"$3,800.00","Their Myth, My Life"
Arts & Humanities,Performing Arts Production,Spinelli,Martin,TELEVISION,BROOKLYN COLLEGE,ASSTP,"$3,800.00",The Hurdlers: A Play about those who prevail
Arts & Humanities,Performing Arts Production,Sternberg,Patricia,THEATER,HUNTER COLLEGE,PROF,"$2,482.00",Solo Performance as a Means of Exploring Identity: A place called home?
Arts & Humanities,Performing Arts Production,Vivier,Judylee,THEATER,BROOKLYN COLLEGE,ASSTP,"$4,360.00",Tax Expenditure Effects on Capital Markets for Public Investment
Arts & Humanities,Performing Arts Scholarship,Boddy,William,COMMUNICATIONS,BARUCH COLLEGE,PROF,"$3,714.00",Virtual Imaging and the New Political Economy of Television in the U.S. and U.K.
Arts & Humanities,Performing Arts Scholarship,Bonczek,Rose,THEATER,BROOKLYN COLLEGE,ASSTP,"$5,753.00",A Visual History of Live Performance at the Gershwin Theater
Arts & Humanities,Performing Arts Scholarship,Buchsbaum,Jonathan,MEDIA STUDIES,QUEENS COLLEGE,ASSCP,"$3,714.00",French Perspectives on GATT and the exception culturelle
Arts & Humanities,Performing Arts Scholarship,D'Aponte,Miriam,PERFORMING ARTS,BARUCH COLLEGE,PROF,"$2,505.00",Theatre Neapolitan Style: Five one act plays by Eduardo De Filippo
Arts & Humanities,Performing Arts Scholarship,Griffiths,Alison,COMMUNICATIONS,BARUCH COLLEGE,ASSTP,"$5,753.00","Between Museum and Thrill Ride: Panoramas, IMAX and the History of the Spectacular View"
Arts & Humanities,Performing Arts Scholarship,Kapsis,Robert,SOCIOLOGY,QUEENS COLLEGE,PROF,"$3,714.00",Digital Satchmo
Arts & Humanities,Performing Arts Scholarship,Margulies,Ivone,MEDIA STUDIES,HUNTER COLLEGE,ASSCP,"$3,714.00",Sacha Guitry's Historical Films and National Portraiture
Arts & Humanities,Performing Arts Scholarship,McCurley,Dallas,"DRAMA, THEATER & DANCE",QUEENS COLLEGE,ASSTP,"$1,906.00",Origins of Asian Theatre: A Source Book of Early Textual Material:China Volume 1
Arts & Humanities,Performing Arts Scholarship,Odabashian,Barbara,ENGLISH,JOHN JAY,ASSCP,"$3,714.00",Pure Hitchcock// Pure Cinema: Hitchcock in the 1920's
Arts & Humanities,Performing Arts Scholarship,Pipolo,Tony,ENGLISH,QUEENSBOROUGH C. C.,PROF,"$3,824.00",Robert Beaver and the Temenos Project
Arts & Humanities,Performing Arts Scholarship,Shobat,Ella,CREATIVE/PERFORMING ARTS,COLLEGE OF STATEN ISLAND,PROF,"$3,714.00","Performing the Orient: Cinema, Spectacle and the Returned Gaze"
Arts & Humanities,Philosophy,Chavez-Arvizo,Enrique,PHILOSOPHY,JOHN JAY,ASSTP,"$6,400.00",Descartes on the substantial  Union of mind and body
Arts & Humanities,Philosophy,Cholbi,Michael,PHILOSOPHY,BROOKLYN COLLEGE,ASSTP,"$3,720.00",Suicide in seventeenth century moral philosophy
Arts & Humanities,Philosophy,Cordero,Alberto,PHILOSOPHY,QUEENS COLLEGE,PROF,"$3,800.00",A Partial Realist approach to the problem of underdetermination in objectivist quantum physics: Hints from Maxwell
Arts & Humanities,Philosophy,Felser,Joseph,HISTORY-PHILOSOPHY,KINGSBOROUGH C. C.,ASSTP,"$4,044.00",Shamans and /or Philosophers? On Rationality and the Non-Rational
Arts & Humanities,Philosophy,Grover,Stephen,PHILOSOPHY,QUEENS COLLEGE,ASSCP,"$3,100.00",William Derham's Natural Theology
Arts & Humanities,Philosophy,Michael,Emily,PHILOSOPHY,BROOKLYN COLLEGE,PROF,"$3,830.00",John Wyclif's world: Aritstotelian Pluralism at the Dawn of Modern Natural Philosophy
Arts & Humanities,Philosophy,Saka,Paul,PHILOSOPHY,BROOKLYN COLLEGE,ASSTP,"$3,720.00",Inquiry into Consensus
Arts & Humanities,Slavic,Plekon,Michael,SOCIOLOGY,BARUCH COLLEGE,PROF,"$3,753.00",Teachers of Freedom: The Living Tradition of the Russian Emigration
Arts & Humanities,Slavic,Whittaker,Robert,LANGUAGES,LEHMAN COLLEGE,ASSCP,"$3,400.00",Tolstoy's American Correspondents Publication of Volume I
Arts & Humanities,Spanish,Bermudez,Marta,ROMANCE LANGUAGES,HUNTER COLLEGE,ASSTP,"$5,752.00",Saying No to Oblivion: Women's Testimonies of Argentina's Dirty War
Arts & Humanities,Spanish,Martinez,Elena,MODERN LANGUAGE,BARUCH COLLEGE,PROF,"$3,500.00",Re-Writing the Nation: Textual Strategies in Rosario Ferre's Works
Arts & Humanities,Spanish,Montero,Daria,FOREIGN LANGUAGES,JOHN JAY,ASSTP,"$3,190.00",The Figure and Theme of Don Juan in the Episodios Nacionales of Benito Perez Galdos
Arts & Humanities,Spanish,Soto,Francisco,MODERN LANGUAGE,COLLEGE OF STATEN ISLAND,ASSCP,"$3,653.00",Reinaldo Arenas: Homosexual Desire and the Cuban American Community
Arts & Humanities,Visual Arts,Allen,Jules,ART,QUEENSBOROUGH C. C.,PROF,"$3,654.00",Explorations in Transatlantic African-America
Arts & Humanities,Visual Arts,Belardo,John,ART,LEHMAN COLLEGE,OTHER,"$3,654.00",Appropriate Material
Arts & Humanities,Visual Arts,Berkowitz,Terry,FINE ARTS,BARUCH COLLEGE,PROF,"$3,654.00",Ties that Bind (working title)
Arts & Humanities,Visual Arts,Carlile,Janet,ART,BROOKLYN COLLEGE,PROF,"$3,578.00",From Sea to Shining Sea
Arts & Humanities,Visual Arts,Cohen,Arthur,ART,QUEENS COLLEGE,PROF,"$3,654.00",Artist as Good Provider
Arts & Humanities,Visual Arts,Comerford,Georgeen,ART,BROOKLYN COLLEGE,ASSCP,"$3,654.00",Looking at Art: A Photo essay about visitors and the museum experience
Arts & Humanities,Visual Arts,Gillison,David,ART,LEHMAN COLLEGE,ASSCP,"$4,048.00",Lost and found: The ancient tradition of ritual theater
Arts & Humanities,Visual Arts,Hofsted,Jolyon,ART,QUEENS COLLEGE,PROF,"$3,404.00",Merging Bamboo and Clay
Arts & Humanities,Visual Arts,Kanter,Michel,ART,KINGSBOROUGH C. C.,PROF,"$1,578.00",The Lincoln Memorial Revisited
Arts & Humanities,Visual Arts,Larenas,Javier,HUMANITIES,LAGUARDIA C. C.,OTHER,"$3,654.00",Imaging Crossroads
Arts & Humanities,Visual Arts,Manister,Craig,CREATIVE/PERFORMING ARTS,COLLEGE OF STATEN ISLAND,OTHER,"$3,654.00",Painterly Resolutions
Arts & Humanities,Visual Arts,Mehlman,Janice,ART,KINGSBOROUGH C. C.,ASSCP,"$3,654.00","Light Waves , A Photographic Investigation"
