V.P. Area,System,Status,ITEA RFS #,Short Description,Date Received,Target Date,Low Estimate,High Estimate,,,
Student Services,REGI,Pending,14229,An application integration framework must be designed and developed to facilitate the ‎move to an ERP in the future.‎,9/23/03,,600,700,,,
Student Services,REGI,Pending,14492,Add PUID to SI,10/31/03,,101,500,,,
Student Services,REGI,Started,14305,"Modification to ""Address Updates from Student Housing"" Report - REHCD565",10/3/03,,1,100,,,
Student Services,SIAD,Not Started,14297,Prospective Student Portal,10/2/03,,1,9999,,,
Student Services,SIAD,Not Started,14659,ADM - Day On Campus data feed to RMS (14659),11/20/03,5/1/04,10,40,,,
Student Services,SIAD,Started,13780,PFAE Enhancements and Scholarship BPR  (13780),4/16/03,3/15/04,200,500,,,
Student Services,SIS,Not Started,14114,E-mail addresses in SIS,9/15/03,,300,400,,,
Student Services,SIS,Not Started,14210,Add SIS User Preferences,9/23/03,,100,150,,,
Student Services,SIS,Not Started,14211,Harvest High School and Core GPA from SI.  Add a field in SIS to store the Core GPA. ‎,9/23/03,,100,200,,,
Student Services,SIS,Not Started,14212,E-project for SSINFO summer financial aid application,9/23/03,,200,300,,,
Student Services,SIS,Not Started,14213,E-project for SSINFO payroll authorization form (PAF)‎,9/23/03,,500,600,,,
Student Services,SIS,Not Started,14214,E-project for display of aggregate financial aid information on SSINFO,9/23/03,,200,300,,,
Student Services,SIS,Not Started,14215,E-project to display the Preliminary Financial Aid Estimate (PFAE) and Scholarship Information ‎on SSINFO ‎,9/23/03,,700,800,,,
Student Services,SIS,Not Started,14217,E-project to expand the loan information available on SSINFO,9/23/03,,500,600,,,
Student Services,SIS,Not Started,14218,E-project for interactive award letter allowing students to accept/reject/reduce various types of ‎financial aid in their aid package on SSINFO.‎,9/23/03,,600,700,,,
Student Services,SIS,Not Started,14220,Application Status on SSINFO - Provide status of file‎,9/23/03,,50,100,,,
Student Services,SIS,Not Started,14221,SSINFO Accounts Training & Support for Newly Admitted Students - Provide earlier ‎communication of SSINFO access to new students and inform them of their career account and ‎email login,9/23/03,,200,300,,,
Student Services,SIS,Not Started,14222,"Please modify course roster displays and downloads to include the students who have ‎cancelled/withdrawn from the section and the date of schedule change. This inclusion could be in ‎the regular listing or as an addendum, whichever is most practical.‎",9/23/03,,600,700,,,
Student Services,SIS,Not Started,14223,Please re-create the system for creation and maintenance of Progress Report Specifications ‎Matrix in the SIS system.  ‎,9/23/03,,300,400,,,
Student Services,SIS,Not Started,14224,"Please modify the person finder screen in SIS to include options which will indicate whether the ‎person is or was ever an actual purdue student.  These might include ""last session of attendance"", ‎campus, school, major, or classification.‎",9/23/03,,300,400,,,
Student Services,SIS,Not Started,14296,Vista Deployment SIS Integration Sub-Project,10/2/03,,1,9999,,,
Student Services,SIS,Not Started,14399,SIS Authoritative Source for Test Scores,10/21/03,,400,500,,,
Student Services,SIS,Not Started,14499,BGR Registration Via the Web,11/3/03,,250,500,,,
Student Services,SIS,Not Started,14500,Electronic Customer Interface Developments,11/3/03,,750,1000,,,
Student Services,SIS,Not Started,14501,Transfer Credit,11/3/03,,1000,1500,,,
Student Services,SIS,Not Started,14502,Campus Map,11/3/03,,100,200,,,
Student Services,SIS,Not Started,14503,Commencement Participation Data Collection on SSINFO,11/3/03,,1,100,,,
Student Services,SIS,Not Started,14504,Instructor Specific Information on Course Depository in SIS,11/3/03,,100,200,,,
Student Services,SIS,Not Started,14505,Key Word Search for the Course Repository,11/3/03,,1,100,,,
Student Services,SIS,Not Started,14506,Add textbook information in the course depository on SIS,11/3/03,,1,100,,,
Student Services,SIS,Not Started,14508,On-line Registration,11/3/03,,1000,2000,,,
Student Services,SIS,Not Started,14509,On-line Plan of Study‎,11/3/03,,501,1000,,,
Student Services,SIS,Not Started,14510,Enhance Student Schedule Display on SSINFO,11/3/03,,500,600,,,
Student Services,SIS,Not Started,14511,Student Schedule Download from SSINFO,11/3/03,,500,750,,,
Student Services,SIS,Not Started,14512,Wait List Enhancement on SSINFO ‎,11/3/03,,1,9999,,,
Student Services,SIS,Not Started,14513,What-if Grade Calculation in SSINFO,11/3/03,,200,300,,,
Student Services,SIS,Not Started,14514,Electronic Grade Reporting,11/3/03,,1,9999,,,
Student Services,SIS,Not Started,14515,Student Organizations Enhancements on SSINFO,11/3/03,,100,150,,,
Student Services,SIS,Not Started,14516,Make SSINFO and SIS on the Web work on PDAs,11/3/03,,500,750,,,
Student Services,SIS,Not Started,14517,On-line Forms,11/3/03,,1,100,,,
Student Services,SIS,Not Started,14518,Off-campus Housing‎,11/3/03,,100,200,,,
Student Services,SIS,Not Started,14520,Electronic Bill Presentment and Payment (replacement of Purdue Pay) ‎,11/3/03,,1000,2000,,,
Student Services,SIS,Not Started,14521,Purdue-Pay Enhancements ‎,11/3/03,,1000,1500,,,
Student Services,SIS,Not Started,14522,On-line Promissory Notes ‎,11/3/03,,100,200,,,
Student Services,SIS,Not Started,14523,On-line Loan Exit Counseling,11/3/03,,100,200,,,
Student Services,SIS,Not Started,14524,On-line Refund Calculator,11/3/03,,1000,1200,,,
Student Services,SIS,Not Started,14525,TRA97‎ Enhancements,11/3/03,,75,100,,,
Student Services,SIS,Not Started,14527,A/R payments on-line,11/3/03,,1000,1500,,,
Student Services,SIS,Not Started,14528,On-line payment of parking tickets,11/3/03,,1000,1500,,,
Student Services,SIS,Not Started,14529,On-line payment of thesis charges,11/3/03,,1000,1500,,,
Student Services,SIS,Not Started,14530,On-line payment of application fees,11/3/03,,1000,1500,,,
Student Services,SIS,Not Started,14532,Display student name on SSINFO,11/3/03,,1,100,,,
Student Services,SIS,Not Started,14533,"Provide tuition/fee charges on SSINFO after ""Registered""",11/3/03,,1,100,,,
Student Services,SIS,Not Started,14534,Display payments on SSINFO,11/3/03,,250,500,,,
Student Services,SIS,Not Started,14535,Provide housing information on SSINFO,11/3/03,,101,500,,,
Student Services,SIS,Not Started,14537,Graduate School Bulletin,11/3/03,,200,300,,,
Student Services,SIS,Not Started,14564,Provide the student with a way to electronically transfer funds from his personal bank account to Boiler Express.,11/5/03,,1,9999,,,
Student Services,SIS,Not Started,14565,Capture alternate email addresses for parents or others as designated by the student.,11/5/03,,1,100,,,
Student Services,SIS,Not Started,14566,Prevent the display of the student's schedule of classes if the student is encumbered and not billed.,11/5/03,,1,100,,,
Student Services,SIS,Not Started,14674,Complete the Academic and Extracurricular Ranking Functionality in SIS/SIQ,11/21/03,8/1/04,100,250,,,
Student Services,SIS,Pending,14230,PUID on Course Roster,9/23/03,,100,200,,,
Student Services,SIS,Pending,14526,Display SSN/SID and PUID,11/3/03,,500,750,,,
Student Services,SIS,Pending,14540,‎1Purdue Portal Pilot Project‎,11/3/03,,1,9999,,,
Student Services,SIS,Started,14209,SIS Employee Data Upgrade,9/23/03,,600,700,,,
Student Services,SIS,Started,14219,Noel-Levitz  14219,9/23/03,,700,800,,,
University Development,,Pending,123,Prospect Search - Add Group Criterea,2/28/03,,101,101,,,
University Development,,Pending,259,Advance Web Communities- Cathy's back up,,,,,,,
University Development,,Pending,261,Annual Giving Support  (High Level Project),,,,,,,
University Development,,Pending,262,OIR Support (High Level Project),,,,,,,
University Development,,Pending,263,Research Support (High Level Project),,,,,,,
University Development,,Pending,265,Vet Med client database integration (high level project),,,,,,,
University Development,,Pending,266,WBAA application interface  (High Level Project),,,,,,,
University Development,,Pending,267,Convocations application interface (High level project),,,,,,,
University Development,,Pending,268,Events credit card processing back end integration (High level project),,,,,,,
University Development,,Pending,269,Advance C/S version 7 upgrade (High level project),,,,,,,
University Development,,Started,237,"Contact Report Email 
Send a weekly email to each fundraiser listing contact reports filed on his/her prospects.  Also ‎include gifts and pledges $1,000 or higher on his/her prospects.‎",,,101,101,,,
University Development,Advance C/S,Acceptance Testing,202,Sport Code Conversion (with Paciolan Athletics Interface),6/23/03,7/11/03,1,1,,,
University Development,Advance C/S,Pending,112,Event management-BSR coming June 2005,,,1,1,,,
University Development,Advance C/S,Pending,159,Coordinate PUID addition to Advance database,4/28/03,,,,,,
University Development,Advance C/S,Pending,170,Purgable Record Process,5/6/03,,1,1,,,
University Development,Advance C/S,Pending,260,Advance Web Community (High Level Project),,,,,,,
University Development,Advance C/S,Started,111,Implement Advance Web Communities - Mentoring,,,501,501,,,
University Development,Advance C/S,Started,270,Load phone numbers received from Alumni Finder on 11/10/2003‎,,,1,1,,,
University Development,Advance C/S,Started,96,HEP matching company data load (Data Load),5/1/03,,1,1,,,
University Development,Appeals,Pending,273,"Add Priority School and Priority Department fields to Appeal Wizard output. 
‎(if the column conatins a value of 'NULL' convert to a null value).‎",1/15/04,,,,,,
University Development,Express Lane,Pending,271,Eliminate inactive allocations from displaying as a choice when ‎entering gifts,11/11/03,,,,,,
University Development,Express Lane,Pending,8,replace ud_send_mail.pl script,11/26/02,,,,,,
University Development,ODS,Pending,252,Modify head of household routine in donor refresh to include staff member test.  See flowchart ‎for details.‎,11/6/03,,1,1,,,
University Development,PAA,Pending,264,PAA Suport (high level Project),,,,,,,
University Development,Reports,Acceptance Testing,257,"Changes to Acknowledgment Wizard for Student Services  (Pres. Council)
Student Services would like the ability to breakout more departments in the Acknowledgment ‎Wizard.  A drop down box similar to that used for Agriculture, Science, and others is prefe",11/24/03,,1,1,,,
University Development,Reports,Pending,224,Alumni club download maintenance,,,101,101,,,
University Development,SmartCall,Pending,140,Improve Senior/Parent calling process.,3/25/03,,101,101,,,
University Development,SmartCall,Pending,253,"Automation of Telefund FY Comparison Report. This report shows the number of contacts, ‎pledges, dollars pledged, pledge rate, average pledge amount, dollars raised per contact, size of ‎the population, and penetration percentage for past years and allows",11/5/03,,101,101,,,
University Development,SmartCall,Pending,256,"Adjust the current Telefund pledge cards for IPFW, West Lafayette, Calumet and North Central ‎so that the address with show in in a standard window envelope. Currently, we have to order ‎special envelopes with larger windows in order to mail pledge cards.",11/18/03,,101,101,,,
University Development,SmartCall,Started,5,SmartCall thank yous,10/11/02,,101,101,,,
University Development,United Way Production,Pending,178,Automating UW for Regional Campuses,5/1/03,,1,1,,,
University Development,Web Processes,Started,144,Implement  e-alumni (core product),4/1/03,,501,501,,,
University Development,Web Processes,Started,145,Upgrade online giving to work with e-alumni core product,4/1/03,,501,501,,,
University Development,Web Processes,Started,258,Prospect Management Application web page.  See attached for details.‎,11/25/03,,101,101,,,
University Residences,Housing,Not Started,14259,RMS - Access to Res Hall application web data‎ 14259,9/29/03,10/1/03,2,20,,,
University Residences,Housing,Not Started,14260,RMS - Impl e-comm for $75 deposit 14260,9/29/03,1/1/04,100,300,,,
University Residences,Housing,Not Started,14261,RMS - Add e-mail addr to data import 14261,9/29/03,1/1/04,50,200,,,
University Residences,RHCA,Pending,11794,"RHCA - Dev card access recon for RH,BU,RE 11794",5/4/01,,400,600,,,
University Residences,UR Data Warehouse,Pending,14262,UR - Design UR data warehouse strategy 14262,9/29/03,1/1/04,100,400,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
